criterion,bin,metric,mean,se,n_folds,n_nodes
baseline,0,acc,0.46369426846504214,0.002027363307293457,10,0
conviction,1,acc,0.46338396072387694,0.0019074139183818323,10,1225.0
conviction,2,acc,0.4640698999166489,0.0019008564035800123,10,1225.0
conviction,3,acc,0.46305732131004335,0.0020492503216843327,10,1225.0
conviction,4,acc,0.46207740902900696,0.002135424614438937,10,1225.0
conviction,5,acc,0.4620774120092392,0.0021059928533449777,10,1225.0
conviction,6,acc,0.4628286808729172,0.0022480434812698936,10,1225.0
conviction,7,acc,0.461293488740921,0.001769315639529224,10,1224.0
conviction,8,acc,0.46145680248737336,0.0017956494837962239,10,1224.0
conviction,9,acc,0.46091785132884977,0.0024282143682561774,10,1224.0
conviction,10,acc,0.4500898212194443,0.0018937155192049076,10,1224.0
confidence,1,acc,0.4643965303897858,0.0017149614667394662,10,1225.0
confidence,2,acc,0.46343295872211454,0.002209961625024183,10,1225.0
confidence,3,acc,0.4626490235328674,0.0021337674726035825,10,1225.0
confidence,4,acc,0.46225706338882444,0.0023184558030664975,10,1225.0
confidence,5,acc,0.4610158443450928,0.0019457261669779868,10,1225.0
confidence,6,acc,0.4619957536458969,0.002214130983023462,10,1225.0
confidence,7,acc,0.4614894658327103,0.00212603697742213,10,1224.0
confidence,8,acc,0.4606238782405853,0.0022616179532452393,10,1224.0
confidence,9,acc,0.45970928966999053,0.002156399851264394,10,1224.0
confidence,10,acc,0.45618160665035246,0.0019333512588153039,10,1224.0
degree,1,acc,0.46343295872211454,0.002264211746661785,10,1225.0
degree,2,acc,0.46248570680618284,0.0018310341407488354,10,1225.0
degree,3,acc,0.4632859736680984,0.0021331761828500893,10,1225.0
degree,4,acc,0.4625183671712875,0.002281790257876234,10,1225.0
degree,5,acc,0.4623060584068298,0.0019660805286666966,10,1225.0
degree,6,acc,0.4631226480007172,0.0021702418035874044,10,1225.0
degree,7,acc,0.4617344468832016,0.0022411939214306183,10,1224.0
degree,8,acc,0.461865097284317,0.0019053057794175628,10,1224.0
degree,9,acc,0.4603135704994202,0.0019155343705403276,10,1224.0
degree,10,acc,0.4539441466331482,0.0022121393679515756,10,1224.0
baseline,0,conf,0.4822723388671875,0.005982144037533406,10,0
conviction,1,conf,0.48225017488002775,0.006090589001225179,10,1225.0
conviction,2,conf,0.4815868705511093,0.006118885506101678,10,1225.0
conviction,3,conf,0.48085830807685853,0.006090854837752522,10,1225.0
conviction,4,conf,0.4802179723978043,0.006031395232006495,10,1225.0
conviction,5,conf,0.47990493178367616,0.006000856413799457,10,1225.0
conviction,6,conf,0.47914127707481385,0.005967093410300193,10,1225.0
conviction,7,conf,0.4784843474626541,0.0059650343175057215,10,1224.0
conviction,8,conf,0.4780308485031128,0.005962468687717873,10,1224.0
conviction,9,conf,0.4767421454191208,0.005883225830666346,10,1224.0
conviction,10,conf,0.47201942801475527,0.006331069400438378,10,1224.0
confidence,1,conf,0.4832494020462036,0.006040490193299067,10,1225.0
confidence,2,conf,0.4823692560195923,0.006035749100477813,10,1225.0
confidence,3,conf,0.4817784190177917,0.006063553907188764,10,1225.0
confidence,4,conf,0.4812552690505981,0.00606363365600025,10,1225.0
confidence,5,conf,0.48000248372554777,0.006008069965737901,10,1225.0
confidence,6,conf,0.47921231389045715,0.0060115893269112,10,1225.0
confidence,7,conf,0.47854911983013154,0.0059714552389162024,10,1224.0
confidence,8,conf,0.47722217738628386,0.005980692625505516,10,1224.0
confidence,9,conf,0.4757209956645966,0.006026589800635861,10,1224.0
confidence,10,conf,0.46901609301567077,0.00602417884005196,10,1224.0
degree,1,conf,0.47734691202640533,0.005935140442181827,10,1225.0
degree,2,conf,0.47762387692928315,0.006001430079588492,10,1225.0
degree,3,conf,0.4778501331806183,0.005922266917961188,10,1225.0
degree,4,conf,0.477577468752861,0.0058750501049520155,10,1225.0
degree,5,conf,0.477620467543602,0.005888536409595372,10,1225.0
degree,6,conf,0.47866193056106565,0.005996489660115715,10,1225.0
degree,7,conf,0.4794614166021347,0.00600495100514979,10,1224.0
degree,8,conf,0.47960962951183317,0.006016282038914668,10,1224.0
degree,9,conf,0.4795163482427597,0.006019157942017346,10,1224.0
degree,10,conf,0.4843695819377899,0.006897395255133844,10,1224.0
baseline,0,auc,nan,nan,10,0
conviction,1,auc,nan,nan,10,1225.0
conviction,2,auc,nan,nan,10,1225.0
conviction,3,auc,nan,nan,10,1225.0
conviction,4,auc,nan,nan,10,1225.0
conviction,5,auc,nan,nan,10,1225.0
conviction,6,auc,nan,nan,10,1225.0
conviction,7,auc,nan,nan,10,1224.0
conviction,8,auc,nan,nan,10,1224.0
conviction,9,auc,nan,nan,10,1224.0
conviction,10,auc,nan,nan,10,1224.0
confidence,1,auc,nan,nan,10,1225.0
confidence,2,auc,nan,nan,10,1225.0
confidence,3,auc,nan,nan,10,1225.0
confidence,4,auc,nan,nan,10,1225.0
confidence,5,auc,nan,nan,10,1225.0
confidence,6,auc,nan,nan,10,1225.0
confidence,7,auc,nan,nan,10,1224.0
confidence,8,auc,nan,nan,10,1224.0
confidence,9,auc,nan,nan,10,1224.0
confidence,10,auc,nan,nan,10,1224.0
degree,1,auc,nan,nan,10,1225.0
degree,2,auc,nan,nan,10,1225.0
degree,3,auc,nan,nan,10,1225.0
degree,4,auc,nan,nan,10,1225.0
degree,5,auc,nan,nan,10,1225.0
degree,6,auc,nan,nan,10,1225.0
degree,7,auc,nan,nan,10,1224.0
degree,8,auc,nan,nan,10,1224.0
degree,9,auc,nan,nan,10,1224.0
degree,10,auc,nan,nan,10,1224.0
