criterion,bin,metric,mean,se,n_folds,n_nodes
baseline,0,acc,0.6530809283256531,0.011382605263015133,10,0
conviction,1,acc,0.6550123810768127,0.011201116122034466,10,147.7
conviction,2,acc,0.655231386423111,0.010744283720180367,10,147.5
conviction,3,acc,0.6607336878776551,0.009204578125088203,10,147.5
conviction,4,acc,0.6610622823238372,0.009064073669146683,10,147.4
conviction,5,acc,0.6577665150165558,0.010433372983697701,10,147.4
conviction,6,acc,0.6571441471576691,0.010135688260657257,10,147.3
conviction,7,acc,0.6550981760025024,0.011183967708714613,10,147.1
conviction,8,acc,0.655981433391571,0.010221573877041246,10,147.1
conviction,9,acc,0.6519602000713348,0.01092761025091662,10,147.0
conviction,10,acc,0.6489897847175599,0.011050631296892334,10,146.7
confidence,1,acc,0.655226182937622,0.011381610818279058,10,147.7
confidence,2,acc,0.6560028374195099,0.0107916142477219,10,147.5
confidence,3,acc,0.6575314462184906,0.010552910036336755,10,147.5
confidence,4,acc,0.6562617182731628,0.010265672940251231,10,147.4
confidence,5,acc,0.6599349617958069,0.009974325760465964,10,147.4
confidence,6,acc,0.6581504821777344,0.009373102589661994,10,147.3
confidence,7,acc,0.65624241232872,0.010462000624981456,10,147.1
confidence,8,acc,0.6558113813400268,0.010525033819479928,10,147.1
confidence,9,acc,0.6531885385513305,0.010280469929036033,10,147.0
confidence,10,acc,0.6508821487426758,0.010956934003404405,10,146.7
degree,1,acc,0.6540233969688416,0.01096683652082018,10,147.7
degree,2,acc,0.6529745578765869,0.011172848830928901,10,147.5
degree,3,acc,0.6528208255767822,0.010293116051527712,10,147.5
degree,4,acc,0.6565633773803711,0.010085229392975197,10,147.4
degree,5,acc,0.6554448902606964,0.010149481625744517,10,147.4
degree,6,acc,0.6567593216896057,0.010612396796263624,10,147.3
degree,7,acc,0.6552707254886627,0.010815697386183801,10,147.1
degree,8,acc,0.6583018183708191,0.009932803259933079,10,147.1
degree,9,acc,0.657864898443222,0.009720646953381398,10,147.0
degree,10,acc,0.6574872136116028,0.009290916338746137,10,146.7
baseline,0,conf,0.6899084448814392,0.026035766231395068,10,0
conviction,1,conf,0.6924312293529511,0.025664231831391663,10,147.7
conviction,2,conf,0.6925642728805542,0.025409926487759537,10,147.5
conviction,3,conf,0.6935364186763764,0.02524288864026617,10,147.5
conviction,4,conf,0.6922731518745422,0.02556054797595503,10,147.4
conviction,5,conf,0.6917086839675903,0.025171130597725834,10,147.4
conviction,6,conf,0.6914705634117126,0.025041468694482077,10,147.3
conviction,7,conf,0.6901977241039277,0.025406528817626083,10,147.1
conviction,8,conf,0.6883548200130463,0.025152861967124036,10,147.1
conviction,9,conf,0.6872292935848237,0.025605224775634542,10,147.0
conviction,10,conf,0.6830171883106232,0.025916911489602654,10,146.7
confidence,1,conf,0.6908536076545715,0.0257086745281722,10,147.7
confidence,2,conf,0.6912442564964294,0.025662858765732547,10,147.5
confidence,3,conf,0.6915959715843201,0.0255567129021117,10,147.5
confidence,4,conf,0.6918726861476898,0.025533997879252993,10,147.4
confidence,5,conf,0.6916974425315857,0.02521867243769012,10,147.4
confidence,6,conf,0.6912258982658386,0.025234433882852774,10,147.3
confidence,7,conf,0.6906620025634765,0.025124999843523024,10,147.1
confidence,8,conf,0.6907607257366181,0.025019161594005006,10,147.1
confidence,9,conf,0.6879512786865234,0.025317898933113023,10,147.0
confidence,10,conf,0.6847280859947205,0.02585372113156263,10,146.7
degree,1,conf,0.6892309784889221,0.025846469454445603,10,147.7
degree,2,conf,0.68974649310112,0.025536034990275066,10,147.5
degree,3,conf,0.689605462551117,0.025597550572511136,10,147.5
degree,4,conf,0.6904598772525787,0.025507730988375034,10,147.4
degree,5,conf,0.68958380818367,0.025720760800661928,10,147.4
degree,6,conf,0.6917425036430359,0.025598047622828173,10,147.3
degree,7,conf,0.6911454379558564,0.025205442285371412,10,147.1
degree,8,conf,0.6910261392593384,0.025276455799142044,10,147.1
degree,9,conf,0.6921183466911316,0.024975330778798353,10,147.0
degree,10,conf,0.6887685656547546,0.025043289955352897,10,146.7
baseline,0,auc,nan,nan,10,0
conviction,1,auc,nan,nan,10,147.7
conviction,2,auc,nan,nan,10,147.5
conviction,3,auc,nan,nan,10,147.5
conviction,4,auc,nan,nan,10,147.4
conviction,5,auc,nan,nan,10,147.4
conviction,6,auc,nan,nan,10,147.3
conviction,7,auc,nan,nan,10,147.1
conviction,8,auc,nan,nan,10,147.1
conviction,9,auc,nan,nan,10,147.0
conviction,10,auc,nan,nan,10,146.7
confidence,1,auc,nan,nan,10,147.7
confidence,2,auc,nan,nan,10,147.5
confidence,3,auc,nan,nan,10,147.5
confidence,4,auc,nan,nan,10,147.4
confidence,5,auc,nan,nan,10,147.4
confidence,6,auc,nan,nan,10,147.3
confidence,7,auc,nan,nan,10,147.1
confidence,8,auc,nan,nan,10,147.1
confidence,9,auc,nan,nan,10,147.0
confidence,10,auc,nan,nan,10,146.7
degree,1,auc,nan,nan,10,147.7
degree,2,auc,nan,nan,10,147.5
degree,3,auc,nan,nan,10,147.5
degree,4,auc,nan,nan,10,147.4
degree,5,auc,nan,nan,10,147.4
degree,6,auc,nan,nan,10,147.3
degree,7,auc,nan,nan,10,147.1
degree,8,auc,nan,nan,10,147.1
degree,9,auc,nan,nan,10,147.0
degree,10,auc,nan,nan,10,146.7
