criterion,bin,metric,mean,se,n_folds,n_nodes
baseline,0,acc,0.8293762505054474,0.006206846613745528,10,0
conviction,1,acc,0.8289738297462463,0.005683886453239376,10,120.0
conviction,2,acc,0.8275653898715973,0.006318356396251094,10,120.0
conviction,3,acc,0.8291750431060791,0.0063145129529211825,10,119.0
conviction,4,acc,0.8273641884326934,0.006968860360242226,10,119.0
conviction,5,acc,0.826961773633957,0.0067035531130269456,10,119.0
conviction,6,acc,0.8281690120697022,0.006030849648929887,10,119.0
conviction,7,acc,0.8295774579048156,0.0061363286800133685,10,119.0
conviction,8,acc,0.8293762505054474,0.0058785599570364425,10,119.0
conviction,9,acc,0.8281690061092377,0.00546010048150238,10,119.0
conviction,10,acc,0.8191146910190582,0.0061389618179104495,10,119.0
confidence,1,acc,0.8293762445449829,0.0057532651422913614,10,120.0
confidence,2,acc,0.8277665972709656,0.005853713448133582,10,120.0
confidence,3,acc,0.8281690120697022,0.006686623057355213,10,119.0
confidence,4,acc,0.82776660323143,0.006274310161533767,10,119.0
confidence,5,acc,0.827364182472229,0.006348718957015444,10,119.0
confidence,6,acc,0.8287726283073426,0.0059378323577717945,10,119.0
confidence,7,acc,0.8271629810333252,0.00617184845951915,10,119.0
confidence,8,acc,0.8289738357067108,0.005768722774744326,10,119.0
confidence,9,acc,0.828370213508606,0.005539964484609033,10,119.0
confidence,10,acc,0.8177062451839447,0.006037554673268414,10,119.0
degree,1,acc,0.8285714209079742,0.005632367503619036,10,120.0
degree,2,acc,0.8291750431060791,0.005764861815452169,10,120.0
degree,3,acc,0.8289738416671752,0.006457468336637958,10,119.0
degree,4,acc,0.828772634267807,0.006092627329298947,10,119.0
degree,5,acc,0.8291750431060791,0.006012362881350301,10,119.0
degree,6,acc,0.8267605602741241,0.006416271871781705,10,119.0
degree,7,acc,0.8271629810333252,0.006995821818916013,10,119.0
degree,8,acc,0.8255533158779145,0.006715923302276468,10,119.0
degree,9,acc,0.8257545173168183,0.005302108732139838,10,119.0
degree,10,acc,0.82072434425354,0.006085977127073597,10,119.0
baseline,0,conf,0.837129545211792,0.005600285494620831,10,0
conviction,1,conf,0.8363846600055694,0.0056550948235720815,10,120.0
conviction,2,conf,0.8359625458717346,0.005535174477276494,10,120.0
conviction,3,conf,0.8346281051635742,0.005532423502422367,10,119.0
conviction,4,conf,0.8340838253498077,0.005552866615130056,10,119.0
conviction,5,conf,0.8341174244880676,0.0057937928311691655,10,119.0
conviction,6,conf,0.8332828104496002,0.005561118093294182,10,119.0
conviction,7,conf,0.8324982941150665,0.005485770900230251,10,119.0
conviction,8,conf,0.8306601345539093,0.005895065920067576,10,119.0
conviction,9,conf,0.8279924750328064,0.005601655000400362,10,119.0
conviction,10,conf,0.8165232181549072,0.006206877068248138,10,119.0
confidence,1,conf,0.8365245759487152,0.005681992439837881,10,120.0
confidence,2,conf,0.8354563295841217,0.005625814941807076,10,120.0
confidence,3,conf,0.835085529088974,0.00558201586937639,10,119.0
confidence,4,conf,0.8345007538795471,0.00559415972143099,10,119.0
confidence,5,conf,0.8338691890239716,0.005525586758064692,10,119.0
confidence,6,conf,0.8321551084518433,0.005722383068601563,10,119.0
confidence,7,conf,0.8323165595531463,0.005540015060807597,10,119.0
confidence,8,conf,0.8300534069538117,0.00548889272161118,10,119.0
confidence,9,conf,0.829222458600998,0.005823203285487665,10,119.0
confidence,10,conf,0.8169067442417145,0.006342814606090794,10,119.0
degree,1,conf,0.8358397066593171,0.005671962589462129,10,120.0
degree,2,conf,0.8344297707080841,0.005514588800991255,10,120.0
degree,3,conf,0.8344828307628631,0.005585054191296106,10,119.0
degree,4,conf,0.8348421931266785,0.005850493635472292,10,119.0
degree,5,conf,0.8336133897304535,0.005535690171634281,10,119.0
degree,6,conf,0.8336669445037842,0.00560475196438541,10,119.0
degree,7,conf,0.8326893150806427,0.005568570712345783,10,119.0
degree,8,conf,0.8307983338832855,0.0056501816633086534,10,119.0
degree,9,conf,0.8307357788085937,0.005490223717434612,10,119.0
degree,10,conf,0.816656482219696,0.006463375445028704,10,119.0
baseline,0,auc,nan,nan,10,0
conviction,1,auc,nan,nan,10,120.0
conviction,2,auc,nan,nan,10,120.0
conviction,3,auc,nan,nan,10,119.0
conviction,4,auc,nan,nan,10,119.0
conviction,5,auc,nan,nan,10,119.0
conviction,6,auc,nan,nan,10,119.0
conviction,7,auc,nan,nan,10,119.0
conviction,8,auc,nan,nan,10,119.0
conviction,9,auc,nan,nan,10,119.0
conviction,10,auc,nan,nan,10,119.0
confidence,1,auc,nan,nan,10,120.0
confidence,2,auc,nan,nan,10,120.0
confidence,3,auc,nan,nan,10,119.0
confidence,4,auc,nan,nan,10,119.0
confidence,5,auc,nan,nan,10,119.0
confidence,6,auc,nan,nan,10,119.0
confidence,7,auc,nan,nan,10,119.0
confidence,8,auc,nan,nan,10,119.0
confidence,9,auc,nan,nan,10,119.0
confidence,10,auc,nan,nan,10,119.0
degree,1,auc,nan,nan,10,120.0
degree,2,auc,nan,nan,10,120.0
degree,3,auc,nan,nan,10,119.0
degree,4,auc,nan,nan,10,119.0
degree,5,auc,nan,nan,10,119.0
degree,6,auc,nan,nan,10,119.0
degree,7,auc,nan,nan,10,119.0
degree,8,auc,nan,nan,10,119.0
degree,9,auc,nan,nan,10,119.0
degree,10,auc,nan,nan,10,119.0
