criterion,bin,metric,mean,se,n_folds,n_nodes
baseline,0,acc,0.8108108103275299,0.02506383104433629,10,0
conviction,1,acc,0.8108108103275299,0.02506383104433629,10,9.0
conviction,2,acc,0.8108108103275299,0.02506383104433629,10,9.0
conviction,3,acc,0.808108103275299,0.025767969068462293,10,9.0
conviction,4,acc,0.8108108103275299,0.02386962188365889,10,9.0
conviction,5,acc,0.8108108103275299,0.02506383104433629,10,9.0
conviction,6,acc,0.8162162125110626,0.025866993916302643,10,9.0
conviction,7,acc,0.8081081092357636,0.02370071306058405,10,9.0
conviction,8,acc,0.8135135114192963,0.026049901125278274,10,8.0
conviction,9,acc,0.808108103275299,0.02460795505853831,10,8.0
conviction,10,acc,0.8135135114192963,0.02243405927125561,10,8.0
confidence,1,acc,0.8108108103275299,0.02506383104433629,10,9.0
confidence,2,acc,0.8108108103275299,0.02386962188365889,10,9.0
confidence,3,acc,0.8108108103275299,0.02506383104433629,10,9.0
confidence,4,acc,0.8135135173797607,0.025482915941232,10,9.0
confidence,5,acc,0.8108108103275299,0.02506383104433629,10,9.0
confidence,6,acc,0.8108108103275299,0.02386962188365889,10,9.0
confidence,7,acc,0.8108108043670654,0.025923411859240443,10,9.0
confidence,8,acc,0.8135135114192963,0.0254829153722849,10,8.0
confidence,9,acc,0.8108108043670654,0.02564008767615544,10,8.0
confidence,10,acc,0.8081081092357636,0.02210605879497929,10,8.0
degree,1,acc,0.8108108103275299,0.02506383104433629,10,9.0
degree,2,acc,0.8081081092357636,0.02370071306058405,10,9.0
degree,3,acc,0.8081081092357636,0.02370071306058405,10,9.0
degree,4,acc,0.8108108103275299,0.02506383104433629,10,9.0
degree,5,acc,0.8108108043670654,0.026480968400121926,10,9.0
degree,6,acc,0.8108108103275299,0.02506383104433629,10,9.0
degree,7,acc,0.8162162125110626,0.02471162877100273,10,9.0
degree,8,acc,0.8135135114192963,0.024006936071045554,10,8.0
degree,9,acc,0.8216216146945954,0.02708102562682098,10,8.0
degree,10,acc,0.8054054081439972,0.024711629031760187,10,8.0
baseline,0,conf,0.8331711053848266,0.009343975150271681,10,0
conviction,1,conf,0.8345627784729004,0.009094248118667523,10,9.0
conviction,2,conf,0.8349978566169739,0.009268965111105117,10,9.0
conviction,3,conf,0.8338766932487488,0.009430697720114426,10,9.0
conviction,4,conf,0.8353415191173553,0.00964502261538646,10,9.0
conviction,5,conf,0.8320584833621979,0.009779977524809521,10,9.0
conviction,6,conf,0.8359595596790313,0.00885210882078789,10,9.0
conviction,7,conf,0.8350989043712616,0.009136424162483635,10,9.0
conviction,8,conf,0.8360468149185181,0.010033470110801204,10,8.0
conviction,9,conf,0.8321973562240601,0.009058921649796966,10,8.0
conviction,10,conf,0.8247891247272492,0.009819308373935272,10,8.0
confidence,1,conf,0.833612197637558,0.009295093317013276,10,9.0
confidence,2,conf,0.8353923916816711,0.009451728302613585,10,9.0
confidence,3,conf,0.8344844937324524,0.009333639232948636,10,9.0
confidence,4,conf,0.8331534802913666,0.00960191022098296,10,9.0
confidence,5,conf,0.8324812352657318,0.009511612434065512,10,9.0
confidence,6,conf,0.8344644248485565,0.009659832718150534,10,9.0
confidence,7,conf,0.8350232124328614,0.010087019413452756,10,9.0
confidence,8,conf,0.835599136352539,0.008895635566972681,10,8.0
confidence,9,conf,0.8331737875938415,0.008956738280313892,10,8.0
confidence,10,conf,0.8280774176120758,0.009705039773421215,10,8.0
degree,1,conf,0.8342333257198333,0.009377950470866946,10,9.0
degree,2,conf,0.8325401544570923,0.009606891124644091,10,9.0
degree,3,conf,0.8328813195228577,0.009305514566461308,10,9.0
degree,4,conf,0.8328083395957947,0.009193505704123962,10,9.0
degree,5,conf,0.8320145010948181,0.009277990216227385,10,9.0
degree,6,conf,0.8369832515716553,0.009632129712397866,10,9.0
degree,7,conf,0.8371827900409698,0.010134017306123856,10,9.0
degree,8,conf,0.8340942084789276,0.0100590255002196,10,8.0
degree,9,conf,0.8340178072452545,0.007967108387701026,10,8.0
degree,10,conf,0.8285120666027069,0.009407474058317418,10,8.0
baseline,0,auc,nan,nan,10,0
conviction,1,auc,nan,nan,10,9.0
conviction,2,auc,nan,nan,10,9.0
conviction,3,auc,nan,nan,10,9.0
conviction,4,auc,nan,nan,10,9.0
conviction,5,auc,nan,nan,10,9.0
conviction,6,auc,nan,nan,10,9.0
conviction,7,auc,nan,nan,10,9.0
conviction,8,auc,nan,nan,10,8.0
conviction,9,auc,nan,nan,10,8.0
conviction,10,auc,nan,nan,10,8.0
confidence,1,auc,nan,nan,10,9.0
confidence,2,auc,nan,nan,10,9.0
confidence,3,auc,nan,nan,10,9.0
confidence,4,auc,nan,nan,10,9.0
confidence,5,auc,nan,nan,10,9.0
confidence,6,auc,nan,nan,10,9.0
confidence,7,auc,nan,nan,10,9.0
confidence,8,auc,nan,nan,10,8.0
confidence,9,auc,nan,nan,10,8.0
confidence,10,auc,nan,nan,10,8.0
degree,1,auc,nan,nan,10,9.0
degree,2,auc,nan,nan,10,9.0
degree,3,auc,nan,nan,10,9.0
degree,4,auc,nan,nan,10,9.0
degree,5,auc,nan,nan,10,9.0
degree,6,auc,nan,nan,10,9.0
degree,7,auc,nan,nan,10,9.0
degree,8,auc,nan,nan,10,8.0
degree,9,auc,nan,nan,10,8.0
degree,10,auc,nan,nan,10,8.0
