criterion,bin,metric,mean,se,n_folds,n_nodes
baseline,0,acc,0.9031499981880188,0.0018855374955207749,10,0
conviction,1,acc,0.90385000705719,0.002008797061095544,10,600.0
conviction,2,acc,0.9016000092029571,0.0025404746713346754,10,600.0
conviction,3,acc,0.900599992275238,0.00220091146770334,10,600.0
conviction,4,acc,0.8978500008583069,0.0024341842999833995,10,600.0
conviction,5,acc,0.8975000023841858,0.0020700244262697623,10,600.0
conviction,6,acc,0.8987999975681304,0.002926770253141073,10,600.0
conviction,7,acc,0.8968500018119812,0.0018722283161485157,10,600.0
conviction,8,acc,0.8932999968528748,0.0025711848743816684,10,600.0
conviction,9,acc,0.8909499883651734,0.0024783572005701317,10,600.0
conviction,10,acc,0.8856999993324279,0.0031090219397367797,10,600.0
confidence,1,acc,0.8983500003814697,0.002237243060279895,10,600.0
confidence,2,acc,0.8992000043392181,0.0023218525684501157,10,600.0
confidence,3,acc,0.8981500029563904,0.0021249123647295465,10,600.0
confidence,4,acc,0.8979000091552735,0.0023598708092390417,10,600.0
confidence,5,acc,0.894899994134903,0.0024847544304350535,10,600.0
confidence,6,acc,0.8931499898433686,0.0021401517778822034,10,600.0
confidence,7,acc,0.896099990606308,0.0021963622277041198,10,600.0
confidence,8,acc,0.8979499995708465,0.002326425914261639,10,600.0
confidence,9,acc,0.8955999970436096,0.00178157285502538,10,600.0
confidence,10,acc,0.9,0.0021540647540452644,10,600.0
degree,1,acc,0.8986500024795532,0.001914484141971328,10,600.0
degree,2,acc,0.8977999985218048,0.0027360555773052785,10,600.0
degree,3,acc,0.8948000073432922,0.0019611226524759765,10,600.0
degree,4,acc,0.8962500035762787,0.00182379943276577,10,600.0
degree,5,acc,0.8958999991416932,0.0026237368389208197,10,600.0
degree,6,acc,0.8969500005245209,0.0023188864730043436,10,600.0
degree,7,acc,0.8974500000476837,0.0023124090478959863,10,600.0
degree,8,acc,0.8970999896526337,0.0019758530611814267,10,600.0
degree,9,acc,0.896699994802475,0.0030018333021457145,10,600.0
degree,10,acc,0.8977999925613404,0.0022991296021100454,10,600.0
baseline,0,conf,0.9027341127395629,0.001963527291414307,10,0
conviction,1,conf,0.9023606717586518,0.0019337323999827811,10,600.0
conviction,2,conf,0.9018975079059601,0.0019007877517542972,10,600.0
conviction,3,conf,0.9006657004356384,0.0018681150526169525,10,600.0
conviction,4,conf,0.8984550476074219,0.0017936967231612865,10,600.0
conviction,5,conf,0.8974876344203949,0.001790614080315024,10,600.0
conviction,6,conf,0.8975149095058441,0.0019915027112132624,10,600.0
conviction,7,conf,0.8969834208488464,0.0018400323502942577,10,600.0
conviction,8,conf,0.8957459568977356,0.0020817718920721727,10,600.0
conviction,9,conf,0.8902300894260406,0.0024977205576865898,10,600.0
conviction,10,conf,0.8769484221935272,0.004366911168456736,10,600.0
confidence,1,conf,0.8967416524887085,0.0020465096321668767,10,600.0
confidence,2,conf,0.8964924156665802,0.0020155089897708396,10,600.0
confidence,3,conf,0.8956629872322083,0.0019523784047201641,10,600.0
confidence,4,conf,0.896083402633667,0.00205040697102062,10,600.0
confidence,5,conf,0.8959799945354462,0.0021619032090206816,10,600.0
confidence,6,conf,0.8947029352188111,0.0021654901796061797,10,600.0
confidence,7,conf,0.8945115804672241,0.00231043633742249,10,600.0
confidence,8,conf,0.897460150718689,0.002000596163024951,10,600.0
confidence,9,conf,0.896171760559082,0.001988446730071233,10,600.0
confidence,10,conf,0.8990659356117249,0.001964800926427638,10,600.0
degree,1,conf,0.8962707877159118,0.0020482955179895327,10,600.0
degree,2,conf,0.8967669427394866,0.002196868735403308,10,600.0
degree,3,conf,0.896369194984436,0.0019176516574093791,10,600.0
degree,4,conf,0.8959692716598511,0.0019423379869202958,10,600.0
degree,5,conf,0.8964342057704926,0.001969210919537249,10,600.0
degree,6,conf,0.8962231397628784,0.002144202695411405,10,600.0
degree,7,conf,0.8964022815227508,0.002043892679559534,10,600.0
degree,8,conf,0.8960227191448211,0.0022417827500384566,10,600.0
degree,9,conf,0.8958906292915344,0.001925376516953046,10,600.0
degree,10,conf,0.8962784051895142,0.002041502025636403,10,600.0
baseline,0,auc,0.9545874074550147,0.0019660450863457223,10,0
conviction,1,auc,0.9545871673952062,0.001984658763452573,10,600.0
conviction,2,auc,0.953364889338661,0.002226232103867312,10,600.0
conviction,3,auc,0.9521760421561858,0.001862550356889478,10,600.0
conviction,4,auc,0.9500146701260143,0.0020058592046705713,10,600.0
conviction,5,auc,0.9484659049525123,0.002019586748437795,10,600.0
conviction,6,auc,0.9487031936425275,0.00248745861993314,10,600.0
conviction,7,auc,0.9469507556482238,0.0022572371126424085,10,600.0
conviction,8,auc,0.9442559113213823,0.0028146297395154887,10,600.0
conviction,9,auc,0.9406214092994981,0.0021312704400577817,10,600.0
conviction,10,auc,0.9300591167055735,0.003494080163798519,10,600.0
confidence,1,auc,0.9492396729988382,0.002198284858908882,10,600.0
confidence,2,auc,0.9491088584152934,0.002128745234721886,10,600.0
confidence,3,auc,0.9480636922303015,0.0021643024366156762,10,600.0
confidence,4,auc,0.9480191000317294,0.0021643915746278816,10,600.0
confidence,5,auc,0.9439075054933894,0.002347456542329335,10,600.0
confidence,6,auc,0.9424852494613829,0.0020229106225590765,10,600.0
confidence,7,auc,0.9455072498445082,0.0020840197089700995,10,600.0
confidence,8,auc,0.9481899827228973,0.002365748583190851,10,600.0
confidence,9,auc,0.947023428576174,0.002097299868141466,10,600.0
confidence,10,auc,0.9509812113926349,0.002138359498621329,10,600.0
degree,1,auc,0.9484292065953086,0.002050034453394609,10,600.0
degree,2,auc,0.9482678942208193,0.001996232562452602,10,600.0
degree,3,auc,0.947238548600513,0.0021202668160802563,10,600.0
degree,4,auc,0.9467356224640227,0.0018417705604276927,10,600.0
degree,5,auc,0.9472359136847508,0.0020783000637733385,10,600.0
degree,6,auc,0.9473913139768981,0.0024906974507498854,10,600.0
degree,7,auc,0.9472504916226413,0.0020767718527909466,10,600.0
degree,8,auc,0.9481978052114945,0.0021152617824462443,10,600.0
degree,9,auc,0.9471228506150476,0.0027153790872494568,10,600.0
degree,10,auc,0.9477467569326097,0.0022189064405087337,10,600.0
