criterion,bin,metric,mean,se,n_folds,n_nodes
baseline,0,acc,0.8907707870006562,0.0013188493490263614,10,0
conviction,1,acc,0.8907454431056976,0.0013656183783228467,10,947.0
conviction,2,acc,0.8907961487770081,0.0014405796368165047,10,947.0
conviction,3,acc,0.8907707929611206,0.0013173835398201422,10,947.0
conviction,4,acc,0.8912271797657013,0.0015162200709526038,10,946.0
conviction,5,acc,0.8903397440910339,0.0014720065127698388,10,946.0
conviction,6,acc,0.8905426025390625,0.0013592938505386123,10,946.0
conviction,7,acc,0.8904411733150482,0.0013981813147658207,10,946.0
conviction,8,acc,0.8905425906181336,0.0015826259703394365,10,946.0
conviction,9,acc,0.891125762462616,0.0015022462150516835,10,946.0
conviction,10,acc,0.8897819459438324,0.001411272573621187,10,946.0
confidence,1,acc,0.8904411733150482,0.0012945665958149152,10,947.0
confidence,2,acc,0.8910750448703766,0.0013263350767775653,10,947.0
confidence,3,acc,0.8906186580657959,0.0014035735791772003,10,947.0
confidence,4,acc,0.8902129769325257,0.0013559586147434042,10,946.0
confidence,5,acc,0.891075050830841,0.0016322779348973988,10,946.0
confidence,6,acc,0.890542596578598,0.00142351996335141,10,946.0
confidence,7,acc,0.8902636885643005,0.001310537240821964,10,946.0
confidence,8,acc,0.8904411792755127,0.0016217084569636099,10,946.0
confidence,9,acc,0.890897560119629,0.001352659311516435,10,946.0
confidence,10,acc,0.8907961428165436,0.0014016734971647586,10,946.0
degree,1,acc,0.8909989833831787,0.0013926534389454134,10,947.0
degree,2,acc,0.8908215045928956,0.001365502391597769,10,947.0
degree,3,acc,0.8908215045928956,0.0013994446008663772,10,947.0
degree,4,acc,0.891125762462616,0.001461903953852343,10,946.0
degree,5,acc,0.8907961487770081,0.0013607122253082697,10,946.0
degree,6,acc,0.8902890503406524,0.0013813448572446217,10,946.0
degree,7,acc,0.8905426025390625,0.0014710494100553294,10,946.0
degree,8,acc,0.8907200872898102,0.0014221395544560163,10,946.0
degree,9,acc,0.890263682603836,0.0013129878499120802,10,946.0
degree,10,acc,0.8907454371452331,0.0014041484021558351,10,946.0
baseline,0,conf,0.8787803411483764,0.00602696047325987,10,0
conviction,1,conf,0.8787013828754425,0.006047554645924773,10,947.0
conviction,2,conf,0.878000807762146,0.005976617760502792,10,947.0
conviction,3,conf,0.877264803647995,0.005989493973858682,10,947.0
conviction,4,conf,0.8769152283668518,0.005978098621304453,10,946.0
conviction,5,conf,0.8763212382793426,0.006018693337531884,10,946.0
conviction,6,conf,0.8757356524467468,0.0060421349506773305,10,946.0
conviction,7,conf,0.8752088010311126,0.00603733135072325,10,946.0
conviction,8,conf,0.874486780166626,0.0060862437815091906,10,946.0
conviction,9,conf,0.8730930030345917,0.006212317937679466,10,946.0
conviction,10,conf,0.8700713992118836,0.006737402947603201,10,946.0
confidence,1,conf,0.8784492075443268,0.006028495503194669,10,947.0
confidence,2,conf,0.8780524671077728,0.006025903642520782,10,947.0
confidence,3,conf,0.8773832798004151,0.006002268791757006,10,947.0
confidence,4,conf,0.8767072200775147,0.006027741994644216,10,946.0
confidence,5,conf,0.8757112085819244,0.0059902612352016205,10,946.0
confidence,6,conf,0.8754235029220581,0.006026647687907143,10,946.0
confidence,7,conf,0.8745587348937989,0.006068741260688766,10,946.0
confidence,8,conf,0.8741007149219513,0.006120845612916383,10,946.0
confidence,9,conf,0.8734105885028839,0.006264562860793726,10,946.0
confidence,10,conf,0.8720479369163513,0.006482649650325337,10,946.0
degree,1,conf,0.8772492051124573,0.006089358475115136,10,947.0
degree,2,conf,0.8772593140602112,0.006022464106034066,10,947.0
degree,3,conf,0.8770702242851257,0.006037893942190629,10,947.0
degree,4,conf,0.8772612094879151,0.00604633513742461,10,946.0
degree,5,conf,0.8769008398056031,0.0060665191132771145,10,946.0
degree,6,conf,0.8761544346809387,0.006013237761077182,10,946.0
degree,7,conf,0.8757481157779694,0.006023921060260239,10,946.0
degree,8,conf,0.8745678544044495,0.00600759981491356,10,946.0
degree,9,conf,0.8733643412590026,0.0062002143055084275,10,946.0
degree,10,conf,0.8704181909561157,0.006577649004384801,10,946.0
baseline,0,auc,nan,nan,10,0
conviction,1,auc,nan,nan,10,947.0
conviction,2,auc,nan,nan,10,947.0
conviction,3,auc,nan,nan,10,947.0
conviction,4,auc,nan,nan,10,946.0
conviction,5,auc,nan,nan,10,946.0
conviction,6,auc,nan,nan,10,946.0
conviction,7,auc,nan,nan,10,946.0
conviction,8,auc,nan,nan,10,946.0
conviction,9,auc,nan,nan,10,946.0
conviction,10,auc,nan,nan,10,946.0
confidence,1,auc,nan,nan,10,947.0
confidence,2,auc,nan,nan,10,947.0
confidence,3,auc,nan,nan,10,947.0
confidence,4,auc,nan,nan,10,946.0
confidence,5,auc,nan,nan,10,946.0
confidence,6,auc,nan,nan,10,946.0
confidence,7,auc,nan,nan,10,946.0
confidence,8,auc,nan,nan,10,946.0
confidence,9,auc,nan,nan,10,946.0
confidence,10,auc,nan,nan,10,946.0
degree,1,auc,nan,nan,10,947.0
degree,2,auc,nan,nan,10,947.0
degree,3,auc,nan,nan,10,947.0
degree,4,auc,nan,nan,10,946.0
degree,5,auc,nan,nan,10,946.0
degree,6,auc,nan,nan,10,946.0
degree,7,auc,nan,nan,10,946.0
degree,8,auc,nan,nan,10,946.0
degree,9,auc,nan,nan,10,946.0
degree,10,auc,nan,nan,10,946.0
