criterion,bin,metric,mean,se,n_folds,n_nodes
baseline,0,acc,0.97151500582695,0.0001412341890861306,10,0
conviction,1,acc,0.9714904725551605,0.000148997620939038,10,2446.0
conviction,2,acc,0.971490478515625,0.00013683563826744972,10,2446.0
conviction,3,acc,0.9714986503124237,0.0001477132584151683,10,2446.0
conviction,4,acc,0.9715313613414764,0.00014933370641969921,10,2446.0
conviction,5,acc,0.9715149998664856,0.00015478479503964345,10,2446.0
conviction,6,acc,0.9715149998664856,0.00013691042316820858,10,2446.0
conviction,7,acc,0.9715150117874145,0.00014076175284138498,10,2446.0
conviction,8,acc,0.9715068340301514,0.00013742086309332247,10,2446.0
conviction,9,acc,0.97151500582695,0.00014358289663899676,10,2446.0
conviction,10,acc,0.971580421924591,0.00016683719123201764,10,2446.0
confidence,1,acc,0.9715395331382751,0.00014961897410195206,10,2446.0
confidence,2,acc,0.9715231835842133,0.00014444067371193473,10,2446.0
confidence,3,acc,0.9715231776237487,0.00014627884284614163,10,2446.0
confidence,4,acc,0.9714986622333527,0.00013933112571822012,10,2446.0
confidence,5,acc,0.9714986562728882,0.00014358337179603734,10,2446.0
confidence,6,acc,0.9715068340301514,0.00014173201474375354,10,2446.0
confidence,7,acc,0.9715150117874145,0.00014076175284138498,10,2446.0
confidence,8,acc,0.9714986503124237,0.00013788042518237745,10,2446.0
confidence,9,acc,0.9714986622333527,0.00013494329254874643,10,2446.0
confidence,10,acc,0.9715231955051422,0.00013437205370198742,10,2446.0
degree,1,acc,0.9715068340301514,0.00013887278498677717,10,2446.0
degree,2,acc,0.9715150117874145,0.00014170842046942031,10,2446.0
degree,3,acc,0.9715068399906158,0.00013790470974011393,10,2446.0
degree,4,acc,0.9715150117874145,0.00014170842046942031,10,2446.0
degree,5,acc,0.9715231895446778,0.00013973655746940484,10,2446.0
degree,6,acc,0.9715068280696869,0.0001364474869614859,10,2446.0
degree,7,acc,0.9715068221092225,0.00013397320050237996,10,2446.0
degree,8,acc,0.971490478515625,0.00014163795820416468,10,2446.0
degree,9,acc,0.9715722382068634,0.00014163757966262954,10,2446.0
degree,10,acc,0.9716212928295136,0.00015660849521473684,10,2446.0
baseline,0,conf,0.9722779214382171,0.0007749101386715523,10,0
conviction,1,conf,0.972464507818222,0.0007820117691409444,10,2446.0
conviction,2,conf,0.9725193440914154,0.0007838433529622986,10,2446.0
conviction,3,conf,0.9725996196269989,0.0007852567378547382,10,2446.0
conviction,4,conf,0.9726474523544312,0.0007859315899099164,10,2446.0
conviction,5,conf,0.9726512849330902,0.0007772206015000964,10,2446.0
conviction,6,conf,0.9726541101932525,0.0007698306533162035,10,2446.0
conviction,7,conf,0.9725783109664917,0.0007579822086757328,10,2446.0
conviction,8,conf,0.9723410248756409,0.0007219975487817532,10,2446.0
conviction,9,conf,0.9710841953754425,0.0008152096217612424,10,2446.0
