criterion,bin,metric,mean,se,n_folds,n_nodes
baseline,0,acc,0.8709463953971863,0.0021164231955113242,10,0
conviction,1,acc,0.8681005895137787,0.00214983594257965,10,1360.0
conviction,2,acc,0.8677255690097809,0.0019282914619218753,10,1360.0
conviction,3,acc,0.8650783121585846,0.001762128277738439,10,1360.0
conviction,4,acc,0.8623428225517273,0.0018014098110560835,10,1360.0
conviction,5,acc,0.8579527854919433,0.0024483025333939343,10,1360.0
conviction,6,acc,0.8529671370983124,0.0019356098516958744,10,1360.0
conviction,7,acc,0.8509596407413482,0.001889796337716259,10,1360.0
conviction,8,acc,0.8481579601764679,0.0018739838360406992,10,1359.0
conviction,9,acc,0.8438120365142823,0.002388646690167913,10,1359.0
conviction,10,acc,0.8359364688396453,0.0028021189771263223,10,1359.0
confidence,1,acc,0.8620119094848633,0.001976901091263731,10,1360.0
confidence,2,acc,0.8608868360519409,0.0019095216744097496,10,1360.0
confidence,3,acc,0.8580189704895019,0.002026728275344264,10,1360.0
confidence,4,acc,0.8580410420894623,0.00195885174308577,10,1360.0
confidence,5,acc,0.8562982618808747,0.0017955098392397014,10,1360.0
confidence,6,acc,0.8531215608119964,0.001997851761569767,10,1360.0
confidence,7,acc,0.8495698153972626,0.002111462250465486,10,1360.0
confidence,8,acc,0.8469005048274993,0.0019005292472833173,10,1359.0
confidence,9,acc,0.8534083425998688,0.0022393772465666303,10,1359.0
confidence,10,acc,0.8527244746685028,0.002449444552237116,10,1359.0
degree,1,acc,0.8598058700561524,0.0019189424234079709,10,1360.0
degree,2,acc,0.8584601819515228,0.0018399512796382195,10,1360.0
degree,3,acc,0.8585925340652466,0.0020314802918571964,10,1360.0
degree,4,acc,0.8592984795570373,0.0019048256754870378,10,1360.0
degree,5,acc,0.8547760844230652,0.0020734577661668755,10,1360.0
degree,6,acc,0.8535627543926239,0.0019170500676378918,10,1360.0
degree,7,acc,0.8530994892120362,0.0019808910851560045,10,1360.0
degree,8,acc,0.8540260255336761,0.0020602762453393424,10,1359.0
degree,9,acc,0.8516655743122101,0.0020669143598903116,10,1359.0
degree,10,acc,0.8492609739303589,0.001906933898479695,10,1359.0
baseline,0,conf,0.8891478538513183,0.0010045572417549603,10,0
conviction,1,conf,0.8870583355426789,0.0008457850151751261,10,1360.0
conviction,2,conf,0.8870714545249939,0.0009657500909710898,10,1360.0
conviction,3,conf,0.8855117201805115,0.0009920827885304974,10,1360.0
conviction,4,conf,0.8841823816299439,0.0011196779320616261,10,1360.0
conviction,5,conf,0.8817239999771118,0.0012080287968499462,10,1360.0
conviction,6,conf,0.8799439549446106,0.0011480890346222165,10,1360.0
conviction,7,conf,0.8787799179553986,0.0010465423006293453,10,1360.0
conviction,8,conf,0.8765513479709626,0.001279003982232596,10,1359.0
conviction,9,conf,0.8739446461200714,0.0009552043306677478,10,1359.0
conviction,10,conf,0.869405335187912,0.0012199503606971872,10,1359.0
confidence,1,conf,0.883953720331192,0.0010331428223231244,10,1360.0
confidence,2,conf,0.8826832056045533,0.0009732122114635871,10,1360.0
confidence,3,conf,0.8825158894062042,0.0007735295762382521,10,1360.0
confidence,4,conf,0.8827620267868042,0.0009684756205435743,10,1360.0
confidence,5,conf,0.8816257119178772,0.0010619118794885354,10,1360.0
confidence,6,conf,0.8798869490623474,0.0011207191849840798,10,1360.0
confidence,7,conf,0.8771795690059662,0.0011764459065183544,10,1360.0
confidence,8,conf,0.8754116475582123,0.001237958263455729,10,1359.0
confidence,9,conf,0.8785504341125489,0.00126769315117612,10,1359.0
confidence,10,conf,0.879556542634964,0.0009134789235207683,10,1359.0
degree,1,conf,0.8831068992614746,0.001054497366026425,10,1360.0
degree,2,conf,0.8831697285175324,0.0009666535575119424,10,1360.0
degree,3,conf,0.882459306716919,0.0010946835957976627,10,1360.0
degree,4,conf,0.8827319204807281,0.0011051114504842142,10,1360.0
degree,5,conf,0.8802234172821045,0.001090805994635316,10,1360.0
degree,6,conf,0.8794544517993927,0.0010741316924192024,10,1360.0
degree,7,conf,0.8793534338474274,0.0011812417607840763,10,1360.0
degree,8,conf,0.8788853645324707,0.0010028195129871988,10,1359.0
degree,9,conf,0.8778306782245636,0.0011037950785007407,10,1359.0
degree,10,conf,0.8775474786758423,0.00091192404989825,10,1359.0
baseline,0,auc,nan,nan,10,0
conviction,1,auc,nan,nan,10,1360.0
conviction,2,auc,nan,nan,10,1360.0
conviction,3,auc,nan,nan,10,1360.0
conviction,4,auc,nan,nan,10,1360.0
conviction,5,auc,nan,nan,10,1360.0
conviction,6,auc,nan,nan,10,1360.0
conviction,7,auc,nan,nan,10,1360.0
conviction,8,auc,nan,nan,10,1359.0
conviction,9,auc,nan,nan,10,1359.0
conviction,10,auc,nan,nan,10,1359.0
confidence,1,auc,nan,nan,10,1360.0
confidence,2,auc,nan,nan,10,1360.0
confidence,3,auc,nan,nan,10,1360.0
confidence,4,auc,nan,nan,10,1360.0
confidence,5,auc,nan,nan,10,1360.0
confidence,6,auc,nan,nan,10,1360.0
confidence,7,auc,nan,nan,10,1360.0
confidence,8,auc,nan,nan,10,1359.0
confidence,9,auc,nan,nan,10,1359.0
confidence,10,auc,nan,nan,10,1359.0
degree,1,auc,nan,nan,10,1360.0
degree,2,auc,nan,nan,10,1360.0
degree,3,auc,nan,nan,10,1360.0
degree,4,auc,nan,nan,10,1360.0
degree,5,auc,nan,nan,10,1360.0
degree,6,auc,nan,nan,10,1360.0
degree,7,auc,nan,nan,10,1360.0
degree,8,auc,nan,nan,10,1359.0
degree,9,auc,nan,nan,10,1359.0
degree,10,auc,nan,nan,10,1359.0
