dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,baseline,,0,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,1,1225.0,0.46344928741455077,0.002175518458813604,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,2,1225.0,0.4623060584068298,0.0020009109145510792,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,3,1225.0,0.4622733950614929,0.002137821361935934,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,4,1225.0,0.46140780448913576,0.0022871375366041863,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,5,1225.0,0.46119548976421354,0.0022962917065824312,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,6,1225.0,0.4609341830015182,0.0020808946842368163,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,7,1224.0,0.46037890315055846,0.0018930111368445867,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,8,1224.0,0.4604605555534363,0.0019329910662198371,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,9,1224.0,0.45977461636066436,0.0024010397337852736,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,10,1224.0,0.44615385234355925,0.002070065820212684,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,1,1225.0,0.46282867789268495,0.001907608126245778,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,2,1225.0,0.4617671102285385,0.0020031952614649544,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,3,1225.0,0.4614404708147049,0.00212643095204149,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,4,1225.0,0.4614568084478378,0.002508017390688277,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,5,1225.0,0.46060754358768463,0.0020792259929811,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,6,1225.0,0.460476890206337,0.002354423550155383,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,7,1224.0,0.45952964425086973,0.001968655614124717,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,8,1224.0,0.45967662930488584,0.0022033109656687273,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,9,1224.0,0.4591376751661301,0.002316830517403454,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,10,1224.0,0.4543687731027603,0.002109334615959058,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,1,1225.0,0.46189776360988616,0.0023236987942352487,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,2,1225.0,0.4616527855396271,0.0016555787101742024,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,3,1225.0,0.46266535818576815,0.0022511268113771903,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,4,1225.0,0.4621917337179184,0.002277109640377642,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,5,1225.0,0.4623060613870621,0.0020247617684080294,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,6,1225.0,0.46307365596294403,0.0021019572782624433,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,7,1224.0,0.46157112419605256,0.0021816091816749573,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,8,1224.0,0.4612771511077881,0.001694457072298489,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,9,1224.0,0.4587293803691864,0.0021825857579905535,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,10,1224.0,0.44844030737876894,0.0019679465630707146,10
