dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,baseline,,0,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,1,147.7,0.6537229955196381,0.011293974594741789,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,2,147.5,0.6558984637260437,0.0104250645105243,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,3,147.5,0.6584527313709259,0.009613167737163088,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,4,147.4,0.6588249862194061,0.009945625433544058,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,5,147.4,0.6547122120857238,0.010851369827921854,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,6,147.3,0.653661024570465,0.010645021603396993,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,7,147.1,0.655251944065094,0.010867677350066529,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,8,147.1,0.6530948638916015,0.010098682238580552,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,9,147.0,0.6504315555095672,0.01045811886030197,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conviction,10,146.7,0.6442501783370972,0.010965886135117045,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,1,147.7,0.6537666499614716,0.01167348596678245,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,2,147.5,0.6540494501590729,0.011286178523948975,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,3,147.5,0.6574004769325257,0.009807086608203078,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,4,147.4,0.6562409400939941,0.010364347304927619,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,5,147.4,0.6569039702415467,0.010069097349816368,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,6,147.3,0.6555915713310242,0.010475694832946667,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,7,147.1,0.6548839271068573,0.010467490077648677,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,8,147.1,0.6542640089988708,0.0103577009412884,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,9,147.0,0.6507754862308502,0.00998693912429807,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,confidence,10,146.7,0.6463595271110535,0.010800960654527434,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,1,147.7,0.653230857849121,0.011231828367294696,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,2,147.5,0.6523052036762238,0.011181539120396752,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,3,147.5,0.6531207799911499,0.01008643398032265,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,4,147.4,0.6544115424156189,0.010584747599351232,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,5,147.4,0.6560056328773498,0.010445722903881138,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,6,147.3,0.6568434298038482,0.010646206186305962,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,7,147.1,0.654583477973938,0.010107314338094973,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,8,147.1,0.6555257856845855,0.010838710988292337,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,9,147.0,0.6548529148101807,0.010070992841796843,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,degree,10,146.7,0.6498895823955536,0.009669465257735028,10
