dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,baseline,,0,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,1,120.0,0.8287726283073426,0.006025815128725409,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,2,120.0,0.8279678046703338,0.0062939611863860765,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,3,119.0,0.8275653898715973,0.006426359789623121,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,4,119.0,0.8267605721950531,0.006651715040151735,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,5,119.0,0.8279678046703338,0.006484058333279195,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,6,119.0,0.828772634267807,0.005971822899378435,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,7,119.0,0.8287726283073426,0.006211084876973327,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,8,119.0,0.8281690061092377,0.006137317970927523,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,9,119.0,0.8267605543136597,0.005432224757445497,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conviction,10,119.0,0.812273645401001,0.0052240270222805385,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,1,120.0,0.830181074142456,0.0061898669435863935,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,2,120.0,0.8275653958320618,0.006182334486723933,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,3,119.0,0.8273641884326934,0.006493726691223238,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,4,119.0,0.827364194393158,0.00617414182818076,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,5,119.0,0.8271629810333252,0.006378300410857429,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,6,119.0,0.8295774638652802,0.0060231248009797065,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,7,119.0,0.82776660323143,0.0061963975002958535,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,8,119.0,0.8271629750728607,0.006275925158592845,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,9,119.0,0.8279677987098694,0.005294849532994526,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,confidence,10,119.0,0.8130784749984741,0.005203839136328248,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,1,120.0,0.8281690061092377,0.005929303735235202,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,2,120.0,0.8287726283073426,0.005778890023284445,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,3,119.0,0.8289738357067108,0.006400797152459786,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,4,119.0,0.8291750371456146,0.005924182777669838,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,5,119.0,0.8293762505054474,0.006121466134139021,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,6,119.0,0.8265593588352204,0.006310340355215978,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,7,119.0,0.82595574259758,0.006942376478545278,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,8,119.0,0.8255533277988434,0.006769955915896792,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,9,119.0,0.8255533099174499,0.005026559488776169,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,degree,10,119.0,0.8160965859889984,0.0050917717401877454,10
