dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,baseline,,0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,1,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,2,9.0,0.8135135114192963,0.024607953683793298,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,3,9.0,0.8027027010917663,0.02326523156686185,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,4,9.0,0.8054054081439972,0.02286939935085084,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,5,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,6,9.0,0.8108108103275299,0.02386962188365889,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,7,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,8,8.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,9,8.0,0.8054054021835327,0.025005476475762584,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conviction,10,8.0,0.8108108103275299,0.02447401180544978,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,1,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,2,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,3,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,4,9.0,0.8162162184715271,0.025005476218069086,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,5,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,6,9.0,0.8108108103275299,0.02386962188365889,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,7,9.0,0.8108108043670654,0.025923411859240443,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,8,8.0,0.8054054081439972,0.024113195649247427,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,9,8.0,0.8108108043670654,0.02564008767615544,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,confidence,10,8.0,0.8081081092357636,0.02430930283995383,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,1,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,2,9.0,0.8054054081439972,0.021212342221820734,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,3,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,4,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,5,9.0,0.808108103275299,0.025767969068462293,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,6,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,7,9.0,0.8162162125110626,0.02471162877100273,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,8,8.0,0.8054054081439972,0.02349952832831214,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,9,8.0,0.8135135054588318,0.025194638813223372,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,degree,10,8.0,0.8054054081439972,0.025005475316142323,10
