dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,baseline,,0,0.9545874125909128,0.0019660728934025426,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,1,600.0,0.9536295857381877,0.0020771145292105947,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,2,600.0,0.9513432140061997,0.002152199533505195,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,3,600.0,0.9496844549201595,0.0019208038111769067,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,4,600.0,0.9465401783656322,0.0020398530246265945,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,5,600.0,0.9443552503415317,0.0025363128298562573,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,6,600.0,0.944480628614081,0.002825524503572883,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,7,600.0,0.9429938611503227,0.0023294969980220564,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,8,600.0,0.9412724301024733,0.002933788038293842,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,9,600.0,0.937671739395053,0.0022395440806937147,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,conviction,10,600.0,0.9271354322188902,0.003925787482224891,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,1,600.0,0.9465872932889369,0.0022825241254256284,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,2,600.0,0.9465634466364061,0.00213220292114746,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,3,600.0,0.9444541638903952,0.0020883861123919207,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,4,600.0,0.944391926404851,0.0022850587328086544,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,5,600.0,0.9391250306203067,0.002729099252021501,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,6,600.0,0.9377579922264687,0.0018921281329535573,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,7,600.0,0.9431048327662385,0.0022624760431608545,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,8,600.0,0.946364598619461,0.00248826899125834,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,9,600.0,0.944945020458386,0.002266737531700515,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,confidence,10,600.0,0.9490863354163735,0.0022529718313645036,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,1,600.0,0.9461948139008645,0.002437439469963688,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,2,600.0,0.9453116319240227,0.002325220359078257,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,3,600.0,0.9438354088217331,0.0023799838699027254,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,4,600.0,0.9443446453638276,0.0018270531674962997,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,5,600.0,0.9441334022347215,0.0020831186283055128,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,6,600.0,0.9442569755428911,0.00251894263737628,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,7,600.0,0.9448280036919711,0.00215661164594896,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,8,600.0,0.9454014675401053,0.002337288547979562,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,9,600.0,0.9438676959950772,0.002532441458393062,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,degree,10,600.0,0.9443755740881731,0.002417926685819347,10
