dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,1,0.9503502893694792
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,2,0.94920486851457
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,3,0.948778111991065
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,4,0.9460113336379327
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,5,0.9393402883541476
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,6,0.941602573865367
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,7,0.9422704716214844
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,8,0.9404634988323687
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,9,0.9328040917859681
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conviction,10,0.9011082977967305
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,1,0.9442138795816836
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,2,0.9435205985379226
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,3,0.9432017209869022
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,4,0.9364132779977663
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,5,0.939487828713575
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,6,0.9290156361051883
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,7,0.940158899380648
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,8,0.9390436211798152
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,9,0.9380013199309575
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,confidence,10,0.9450213854198396
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,1,0.9413043202355569
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,2,0.9426623261244798
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,3,0.9403127855619859
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,4,0.9382027997766269
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,5,0.9401160650827496
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,6,0.9413328764341556
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,7,0.938940501573764
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,8,0.9406189714691846
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,9,0.9389135318306429
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,degree,10,0.9401366890039597
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,baseline,,0.9601680562793121
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,1,0.9596097297699694
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,2,0.9582806024963398
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,3,0.9554548499962778
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,4,0.9553959155314028
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,5,0.9502717189012134
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,6,0.9517233678255044
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,7,0.9488650462790639
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,8,0.9482105635375568
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,9,0.9441859599493785
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,conviction,10,0.9329201717164197
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,1,0.9501026700414403
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,2,0.9547848581850665
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,3,0.9508936325963423
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,4,0.9492155512543735
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,5,0.9460408446859724
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,6,0.9415866398669942
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,7,0.9496622124618477
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,8,0.9561108836447556
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,9,0.9524491922876498
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,confidence,10,0.957118973175513
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,1,0.9541893099084344
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,2,0.9526694210774461
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,3,0.9479515620735005
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,4,0.9534092037023251
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,5,0.9490434005806596
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,6,0.9507757636665923
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,7,0.9507261346435395
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,8,0.9507726618526516
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,9,0.9528927516811831
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,degree,10,0.9537674632124866
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,baseline,,0.9615827848149555
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,1,0.9628528148092809
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,2,0.9589902705211574
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,3,0.9561752228115826
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,4,0.9528324530017374
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,5,0.9493847745815974
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,6,0.9537909362139754
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,7,0.9512461076521294
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,8,0.9507199750762574
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,9,0.9448927786317056
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,conviction,10,0.9385140172209073
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,1,0.9553502596488106
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,2,0.952681448183889
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,3,0.9509886046995878
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,4,0.953220296954948
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,5,0.9483674789666184
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,6,0.9448848310097135
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,7,0.9499728986090072
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,8,0.9533188474676492
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,9,0.9507295122226478
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,confidence,10,0.9594146735355313
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,1,0.9545809298399827
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,2,0.9509838361263926
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,3,0.9513669115064081
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,4,0.9499395185966407
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,5,0.9509170761016595
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,6,0.9509949627971815
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,7,0.9523301632918415
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,8,0.956302384763455
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,9,0.9527768196477933
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,2,degree,10,0.9530661130883028
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,baseline,,0.9421739183034014
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,1,0.940826523267138
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,2,0.9354293819827122
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,3,0.9372909344963374
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,4,0.9304707867819185
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,5,0.923113798172019
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,6,0.9202209062479206
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,7,0.9251129634222323
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,8,0.9208908231963658
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,9,0.9262788911135441
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,conviction,10,0.9255938518863531
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,1,0.9296783793756314
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,2,0.9331549912593229
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,3,0.9284852315825767
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,4,0.9296904771986281
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,5,0.9173869912109317
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,6,0.9262879644807918
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,7,0.9289630955909485
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,8,0.9331141611067089
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,9,0.9294606185616898
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,confidence,10,0.9358633913827207
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,1,0.9278894137999867
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,2,0.9289086553874629
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,3,0.9289026064759647
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,4,0.9335920251150805
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,5,0.9302923438927165
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,6,0.9242494813058388
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,7,0.933504315898354
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,8,0.9310227499561454
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,9,0.9265904100557104
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,3,degree,10,0.9258600039922815
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,baseline,,0.9473994391920395
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,1,0.9467372019156803
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,2,0.9452483312240998
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,3,0.942321769770962
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,4,0.9430755105585746
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,5,0.9428180600014889
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,6,0.9438881858110623
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,7,0.9379296012307997
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,8,0.9303999478895258
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,9,0.9249205935631157
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,conviction,10,0.9170978188044369
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,1,0.9433345120226309
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,2,0.9396945333631107
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,3,0.9395565026427456
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,4,0.9375062036278817
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,5,0.9333497729472195
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,6,0.935398521055113
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,7,0.9328085064145513
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,8,0.9344896895704607
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,9,0.9383669569964516
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,confidence,10,0.9410903496364673
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,1,0.9416564306806621
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,2,0.9386244075535374
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,3,0.9356156480309684
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,4,0.939257177597459
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,5,0.9375837489764014
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,6,0.9379171939750366
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,7,0.9350107943125139
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,8,0.938615102111715
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,9,0.9355210427057743
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,4,degree,10,0.9401396436636146
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,baseline,,0.9570612609889417
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,1,0.9552932693518728
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,2,0.9549846973475402
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,3,0.9506867301443361
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,4,0.9446601299780851
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,5,0.9448899846343737
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,6,0.9479048590644601
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,7,0.9462864303886748
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,8,0.9483031688455628
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,9,0.940730559963727
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,conviction,10,0.9280255799894204
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,1,0.9487266681780397
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,2,0.9482417693140885
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,3,0.9449198972266304
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,4,0.9475018262424746
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,5,0.9393514320259956
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,6,0.9428700974835638
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,7,0.9431550542834831
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,8,0.9493438121867048
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,9,0.9513400841331016
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,confidence,10,0.9508000831255196
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,5,degree,1,0.9484432857250812
