dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,baseline,,0,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,1,947.0,0.8909989833831787,0.0013585411228899899,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,2,947.0,0.890517246723175,0.0013624832060973456,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,3,947.0,0.8902129769325257,0.0013125919877734372,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,4,946.0,0.8911764681339264,0.0014462556617613552,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,5,946.0,0.890289032459259,0.0014935980540731033,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,6,946.0,0.8900608479976654,0.001357945213693285,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,7,946.0,0.8907707870006562,0.0013449135054468258,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,8,946.0,0.890593308210373,0.0015247789112377988,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,9,946.0,0.8904411792755127,0.0014527565396343545,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conviction,10,946.0,0.8866125762462616,0.001650140176834863,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,1,947.0,0.890821498632431,0.0013311734830836334,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,2,947.0,0.891100412607193,0.0013870110274018092,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,3,947.0,0.8899087190628052,0.0014310646185199567,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,4,946.0,0.8900608479976654,0.0014140713875341667,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,5,946.0,0.8904158174991608,0.0015894142370634216,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,6,946.0,0.8901115536689759,0.0015052387879688936,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,7,946.0,0.8898580014705658,0.0010971389637722223,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,8,946.0,0.889781939983368,0.0015510301135554577,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,9,946.0,0.8900861978530884,0.001386549221104765,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,confidence,10,946.0,0.8893001914024353,0.0014099724440085463,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,1,947.0,0.8909229218959809,0.0014426959492583663,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,2,947.0,0.8909229159355163,0.0013840218146782145,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,3,947.0,0.8906440138816833,0.0014171802968062973,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,4,946.0,0.8908722102642059,0.0015222263000878203,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,5,946.0,0.8905425906181336,0.0014771504408332356,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,6,946.0,0.8903651058673858,0.0013953092096272773,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,7,946.0,0.8906693696975708,0.0014480348769416959,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,8,946.0,0.8902129709720612,0.001442784633788551,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,9,946.0,0.8893762588500976,0.001109869007940349,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,degree,10,946.0,0.886130827665329,0.001618135990376008,10
