dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,baseline,,0,0.7666904751459794,0.004547681086715278,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,1,2446.0,0.7661983934760072,0.004651372891307866,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,2,2446.0,0.7664894749358707,0.00463510580319491,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,3,2446.0,0.7669508484007491,0.004600083727419496,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,4,2446.0,0.766981960661173,0.00459839731722664,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,5,2446.0,0.7668945923543495,0.004564386604248948,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,6,2446.0,0.7671954404087656,0.004530718295327836,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,7,2446.0,0.7667160229872849,0.004592195530972414,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,8,2446.0,0.766098534087262,0.004666115694864893,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,9,2446.0,0.7663893615694894,0.004785082148717963,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conviction,10,2446.0,0.756702850783521,0.00429883207623636,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,1,2446.0,0.7637578415595151,0.004236907299887,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,2,2446.0,0.7651247607415225,0.004904175694505564,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,3,2446.0,0.7666265997704966,0.0045853505885950566,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,4,2446.0,0.7660941933785722,0.004720112305012061,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,5,2446.0,0.7661918824129723,0.004717602730870774,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,6,2446.0,0.7668292854685541,0.0046337302528272955,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,7,2446.0,0.7670764287973697,0.004563031987417775,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,8,2446.0,0.7664889785250365,0.004464481257539053,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,9,2446.0,0.7651607216659084,0.004569859890220776,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,confidence,10,2446.0,0.7631298241320315,0.004533553091314767,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,1,2446.0,0.7662874703596554,0.004629711412546765,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,2,2446.0,0.7661167742993105,0.004772588188941777,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,3,2446.0,0.7665851667824958,0.004472933678634171,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,4,2446.0,0.7663757044993293,0.004635675118339621,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,5,2446.0,0.7665779630531806,0.004630614875801174,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,6,2446.0,0.7664443015499564,0.0044610564211870615,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,7,2446.0,0.7661300619474544,0.004662999393755368,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,8,2446.0,0.7669296412681333,0.004556898731489288,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,9,2446.0,0.7667171197088953,0.004472820599216551,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,degree,10,2446.0,0.7594169250696707,0.004598870360040091,10
