dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,baseline,,0.7659959733000237
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,1,0.7665685774250823
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,2,0.7661914206354521
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,3,0.7660565815995511
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,4,0.7654314502815689
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,5,0.7652293071720976
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,6,0.7669594720959388
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,7,0.7646692864844646
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,8,0.7643804446455742
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,9,0.7634055168560339
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conviction,10,0.7569465192364971
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,1,0.7669660524256019
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,2,0.7640506200517653
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,3,0.765132795670374
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,4,0.765376498756664
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,5,0.7642100487406174
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,6,0.7651835911975969
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,7,0.7664675635925366
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,8,0.7639897808634777
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,9,0.7642212468454823
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,confidence,10,0.7617857167595224
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,1,0.7665895883022519
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,2,0.7653169294565572
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,3,0.76627546414413
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,4,0.7650088084061981
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,5,0.7658986536876399
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,6,0.7647368214467951
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,7,0.7647557543251238
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,8,0.7650249706194053
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,9,0.7658804134755915
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,degree,10,0.7587307121302028
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,baseline,,0.7648086278511876
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,1,0.7651326802259939
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,2,0.7643037895772196
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,3,0.7659618017635283
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,4,0.7650233543980846
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,5,0.7653576813227155
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,6,0.7666404992738548
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,7,0.7649368865574255
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,8,0.7658841076957533
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,9,0.7677000477939734
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,conviction,10,0.7545511637947954
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,1,0.7631432272245555
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,2,0.764966786651859
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,3,0.7672719800327401
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,4,0.7652461620515852
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,5,0.7652560902682697
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,6,0.7656215871755148
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,7,0.7649752140916027
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,8,0.7656638398186139
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,9,0.7638279278426447
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,confidence,10,0.7616358699542147
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,1,0.7649024841321699
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,2,0.76412762145326
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,3,0.7655531286581437
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,4,0.7650866179183531
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,5,0.7666439626052565
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,6,0.7655036030191014
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,7,0.7646010588558538
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,8,0.765416211623402
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,9,0.768210773731324
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,1,degree,10,0.7590671170536747
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,baseline,,0.7653574504339555
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,1,0.7645992117457729
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,2,0.7651404149994575
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,3,0.7643729407608708
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,4,0.7655256528956914
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,5,0.7654188668441432
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,6,0.7649699036501205
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,7,0.7655597089878068
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,8,0.7633574919939323
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,9,0.7649760222022632
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,conviction,10,0.7549195468115417
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,confidence,1,0.7582721670526357
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,confidence,2,0.7640618181566303
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,confidence,3,0.7660149061783523
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,confidence,4,0.7656870441390042
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,2,confidence,5,0.7645386034462456
