dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,baseline,,0,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,1,1360.0,0.8649680137634277,0.001897827617586681,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,2,1360.0,0.8643282651901245,0.0022284318256507105,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,3,1360.0,0.8601808965206146,0.0016114099460720686,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,4,1360.0,0.8570262551307678,0.0017009319346952142,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,5,1360.0,0.8535407066345215,0.0023089711950576588,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,6,1360.0,0.849834543466568,0.002077445762974338,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,7,1360.0,0.8493712782859802,0.0021740031265131475,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,8,1359.0,0.8463489949703217,0.0019406286010785847,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,9,1359.0,0.8449150562286377,0.002244965191877737,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conviction,10,1359.0,0.8385616540908813,0.003089689547276522,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,1,1360.0,0.8544010639190673,0.0017612465238691043,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,2,1360.0,0.8530112504959106,0.0014422364292924264,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,3,1360.0,0.8520185351371765,0.0020095125815930985,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,4,1360.0,0.8536289453506469,0.0018536689118561428,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,5,1360.0,0.8536289393901825,0.0020968441287517845,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,6,1360.0,0.8548643290996552,0.0025019804011953304,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,7,1360.0,0.8525700390338897,0.002595839450034306,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,8,1359.0,0.8485329806804657,0.0024945262177418913,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,9,1359.0,0.8521288335323334,0.002491766179806224,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,confidence,10,1359.0,0.8521288394927978,0.0025563598091645247,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,1,1360.0,0.8560335397720337,0.001971962033494239,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,2,1360.0,0.8553496658802032,0.0020621636740284603,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,3,1360.0,0.8550849318504333,0.0018896024833864572,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,4,1360.0,0.8552834689617157,0.002148829949653558,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,5,1360.0,0.8545775413513184,0.0021945008154150474,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,6,1360.0,0.8544231116771698,0.0022178050664812773,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,7,1360.0,0.8536951243877411,0.002650892153770693,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,8,1359.0,0.8548202037811279,0.002246366068200905,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,9,1359.0,0.8512243509292603,0.002368023445325639,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,degree,10,1359.0,0.8387160837650299,0.0020193324195762153,10
