dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,baseline,,0,0.8536274262598657,0.0021922005286110625,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,1,588.0,0.8523873190557143,0.0022318612994681754,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,2,588.0,0.8529799378573811,0.002266087888969926,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,3,588.0,0.8532423901048996,0.002169596034328589,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,4,588.0,0.8536793134487797,0.002124429286537807,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,5,588.0,0.8535364626968054,0.0020800434960214585,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,6,588.0,0.8538755425956202,0.0022196692501268277,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,7,588.0,0.8530883214172421,0.0022680177033933455,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,8,588.0,0.8531848770026219,0.0021786699872967724,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,9,588.0,0.8529676015172342,0.002025570172251891,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conviction,10,587.0,0.8501062823151108,0.0018286363447688617,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,1,588.0,0.8525636202684714,0.0021136118506269756,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,2,588.0,0.8534828809556732,0.0021367313087730937,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,3,588.0,0.8525243066570145,0.0020777819347191197,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,4,588.0,0.8535588985681711,0.002354396733566546,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,5,588.0,0.8528070596401042,0.0020853778799201955,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,6,588.0,0.852881179354118,0.002330450562820131,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,7,588.0,0.8529078854970733,0.002287206041373969,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,8,588.0,0.8532552009196674,0.0021159398055852837,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,9,588.0,0.8538688660598813,0.002125753076209004,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,confidence,10,587.0,0.8538215202709114,0.0021376832088397003,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,1,588.0,0.8522517548782768,0.002261059731636445,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,2,588.0,0.8534471259038743,0.002197692727532596,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,3,588.0,0.8536641641519511,0.002195600369217817,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,4,588.0,0.8535217200925089,0.002300550450507571,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,5,588.0,0.8535479856518874,0.0021417714054100183,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,6,588.0,0.8536503366058525,0.002177387555784063,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,7,588.0,0.8526371977257753,0.0020973296572516895,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,8,588.0,0.8534645120096304,0.0022150050944772055,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,9,588.0,0.8534185896445237,0.0020745000129633,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,degree,10,587.0,0.8507042220107423,0.0021682807489069762,10
