dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,baseline,,0.8484239986552033
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,1,0.8455646112426083
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,2,0.8475879065908591
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,3,0.848135246957262
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,4,0.8489001678284517
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,5,0.8483816348497542
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,6,0.8484816134306143
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,7,0.847838700319118
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,8,0.847496400771089
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,9,0.8486636083388237
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conviction,10,0.8470663234181693
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,1,0.8472062934313733
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,2,0.8483331706563204
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,3,0.8467931616006333
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,4,0.8493865043150078
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,5,0.848687332069875
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,6,0.8486276838318029
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,7,0.8476604334257882
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,8,0.8471639296259242
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,9,0.84847178502775
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,confidence,10,0.8486202278020437
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,1,0.8469422821958144
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,2,0.848653441025516
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,3,0.8474367525330165
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,4,0.8481779496731549
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,5,0.8480718707043102
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,6,0.8481898115386806
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,7,0.8477597341857609
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,8,0.8479207166464676
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,9,0.8490086191704014
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,degree,10,0.8484507725802471
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,1,baseline,,0.8551049402297543
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,1,conviction,1,0.8535567973234209
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,1,conviction,2,0.8534354673846145
