dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,baseline,,0,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,1,1225.0,0.46297567188739774,0.002002075641341159,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,2,1225.0,0.4631553143262863,0.0022698872173150504,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,3,1225.0,0.4628286749124527,0.002011995783394021,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,4,1225.0,0.462714359164238,0.0021022846967138696,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,5,1225.0,0.46209374368190764,0.001798463013243292,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,6,1225.0,0.4629266679286957,0.0021115858728548154,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,7,1224.0,0.4618160992860794,0.002324529550196208,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,8,1224.0,0.46144047379493713,0.001880392354440223,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,9,1224.0,0.4602645754814148,0.002527359295521823,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,10,1224.0,0.45191898941993713,0.002159816719266615,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,1,1225.0,0.46240405142307284,0.002141039360765206,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,2,1225.0,0.46217540800571444,0.00208862060149,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,3,1225.0,0.46171811521053313,0.001978038253664513,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,4,1225.0,0.4616527855396271,0.0024429174126091267,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,5,1225.0,0.46196308732032776,0.0021451633979435343,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,6,1225.0,0.46246937811374667,0.0022400328451616745,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,7,1224.0,0.46122815310955045,0.0020787658375129845,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,8,1224.0,0.4615384638309479,0.0023086345827891762,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,9,1224.0,0.46060754358768463,0.0019648592085036365,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,10,1224.0,0.45758615136146547,0.0021084930744769987,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,1,1225.0,0.46346562206745145,0.0024367656357404373,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,2,1225.0,0.46260002851486204,0.0018089709828682627,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,3,1225.0,0.4629266709089279,0.002169280507481132,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,4,1225.0,0.4623060584068298,0.0024034004990154748,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,5,1225.0,0.4616364508867264,0.0021705033189008713,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,6,1225.0,0.4636616051197052,0.0019640391682758346,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,7,1224.0,0.46186510324478147,0.0022680712608541065,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,8,1224.0,0.4614404708147049,0.0019888977719152334,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,9,1224.0,0.45997059941291807,0.00208539523425409,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,10,1224.0,0.4554956704378128,0.002158279127402751,10
