dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,baseline,,0,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,1,1225.0,0.46392291188240053,0.002027413237705779,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,2,1225.0,0.4636452704668045,0.0019158398332474406,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,3,1225.0,0.4628286808729172,0.0020671835539525533,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,4,1225.0,0.4624693810939789,0.0023553083325826745,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,5,1225.0,0.4618814289569855,0.0019862453157414263,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,6,1225.0,0.4627633512020111,0.00209127597201745,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,7,1224.0,0.46162012219429016,0.002036608679836277,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,8,1224.0,0.46227340400218964,0.0019021196868245478,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,9,1224.0,0.4612281620502472,0.002489893361461137,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,conviction,10,1224.0,0.44909357726573945,0.0018964390851732521,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,1,1225.0,0.4643965303897858,0.0017149614667394662,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,2,1225.0,0.46343295872211454,0.002209961625024183,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,3,1225.0,0.4626490235328674,0.0021337674726035825,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,4,1225.0,0.46225706338882444,0.0023184558030664975,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,5,1225.0,0.4610158443450928,0.0019457261669779868,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,6,1225.0,0.4619957536458969,0.002214130983023462,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,7,1224.0,0.4614894658327103,0.00212603697742213,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,8,1224.0,0.4606238782405853,0.0022616179532452393,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,9,1224.0,0.45970928966999053,0.002156399851264394,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,confidence,10,1224.0,0.45618160665035246,0.0019333512588153039,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,1,1225.0,0.46343295872211454,0.002264211746661785,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,2,1225.0,0.46248570680618284,0.0018310341407488354,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,3,1225.0,0.4632859736680984,0.0021331761828500893,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,4,1225.0,0.4625183671712875,0.002281790257876234,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,5,1225.0,0.4623060584068298,0.0019660805286666966,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,6,1225.0,0.4631226480007172,0.0021702418035874044,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,7,1224.0,0.4617344468832016,0.0022411939214306183,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,8,1224.0,0.461865097284317,0.0019053057794175628,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,9,1224.0,0.4603135704994202,0.0019155343705403276,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,degree,10,1224.0,0.4539441466331482,0.0022121393679515756,10
