dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,baseline,,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,1,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,2,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,3,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,4,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,5,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,6,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,7,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,8,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,9,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,conviction,10,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,1,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,2,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,3,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,4,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,5,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,6,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,7,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,8,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,9,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,confidence,10,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,1,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,2,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,3,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,4,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,5,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,6,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,7,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,8,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,9,0.6756756901741028
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,0,degree,10,0.7027027010917664
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,baseline,,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,1,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,2,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,3,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,4,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,5,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,6,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,7,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,8,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,9,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,conviction,10,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,1,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,2,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,3,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,4,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,5,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,6,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,7,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,8,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,9,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,confidence,10,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,1,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,2,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,3,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,4,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,5,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,6,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,7,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,8,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,9,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,1,degree,10,0.8648648858070374
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,baseline,,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,1,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,2,0.9189189076423645
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,3,0.9189189076423645
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,4,0.9189189076423645
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,5,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,6,0.9189189076423645
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,7,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,8,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,9,0.9189189076423645
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,conviction,10,0.9189189076423645
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,1,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,2,0.8918918967247009
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,3,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,4,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,5,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,6,0.9189189076423645
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,7,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,8,0.9189189076423645
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,9,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,confidence,10,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,degree,1,0.9459459185600281
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,2,degree,2,0.8648648858070374
