dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,baseline,,0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,1,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,2,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,3,9.0,0.8135135114192963,0.025194637470490742,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,4,9.0,0.8054054021835327,0.024414247500469385,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,5,9.0,0.8135135114192963,0.025194637470490742,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,6,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,7,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,8,8.0,0.8135135114192963,0.026049901125278274,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,9,8.0,0.808108103275299,0.02460795505853831,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,conviction,10,8.0,0.8135135114192963,0.02243405927125561,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,1,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,2,9.0,0.8108108103275299,0.02386962188365889,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,3,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,4,9.0,0.8135135173797607,0.025482915941232,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,5,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,6,9.0,0.8108108103275299,0.02386962188365889,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,7,9.0,0.8108108043670654,0.025923411859240443,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,8,8.0,0.8135135114192963,0.0254829153722849,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,9,8.0,0.8108108043670654,0.02564008767615544,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,confidence,10,8.0,0.8081081092357636,0.02210605879497929,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,1,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,2,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,3,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,4,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,5,9.0,0.8108108043670654,0.026480968400121926,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,6,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,7,9.0,0.8162162125110626,0.02471162877100273,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,8,8.0,0.8135135114192963,0.024006936071045554,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,9,8.0,0.8216216146945954,0.02708102562682098,10
cornell,GeneralSheaf,2,2,true,avg,masking,zero,acc,degree,10,8.0,0.8054054081439972,0.024711629031760187,10
