dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,baseline,,0,0.9545874125909128,0.0019660728934025426,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,1,600.0,0.9534642134964345,0.0019314945555493693,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,2,600.0,0.9532298181572759,0.0021508273252854493,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,3,600.0,0.9520151589634885,0.0019811765711744943,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,4,600.0,0.950104697985666,0.0020104962393831835,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,5,600.0,0.9475179475414993,0.001799870140214258,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,6,600.0,0.9488862377602671,0.001943716965146428,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,7,600.0,0.9462517991617878,0.0021483034882153456,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,8,600.0,0.9439774212071533,0.0022067708386800102,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,9,600.0,0.9403207076975904,0.003525151383338402,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conviction,10,600.0,0.9162869829078518,0.003233977175915475,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,1,600.0,0.9474808841950614,0.0023982504683143432,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,2,600.0,0.9473902431675805,0.0022407940181157276,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,3,600.0,0.9470297430103571,0.0020590124820809345,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,4,600.0,0.9466830768490014,0.002313003402215553,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,5,600.0,0.9421250988492282,0.0024437296658436068,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,6,600.0,0.9402671414623798,0.0020419748012053002,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,7,600.0,0.9446242493170972,0.0021181978091504555,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,8,600.0,0.9474026122859966,0.002438063460038185,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,9,600.0,0.9460310364018177,0.0020342624534731074,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,confidence,10,600.0,0.9507255785139878,0.002228298432044975,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,1,600.0,0.9470680552149,0.0019892753710306827,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,2,600.0,0.9472286476354824,0.0021009242722819766,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,3,600.0,0.9459885079934421,0.0022752871147788084,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,4,600.0,0.9452287789399602,0.001893171371239779,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,5,600.0,0.9463551710513135,0.002214544505278913,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,6,600.0,0.9458960413362376,0.002545904263682058,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,7,600.0,0.9460855716841425,0.002166062558405529,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,8,600.0,0.9467972989604252,0.0020559081002974695,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,9,600.0,0.9458575234919868,0.002810048827513101,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,degree,10,600.0,0.9471376803944231,0.0023523659200675173,10
