dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,1,0.9510990963549598
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,2,0.9495729261853995
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,3,0.9513196136663621
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,4,0.9476453827799777
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,5,0.9469949360341151
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,6,0.9460636866686973
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,7,0.9398257437303279
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,8,0.9440948954208548
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,9,0.9334339146106203
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,conviction,10,0.9075096456493045
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,1,0.9457368768402884
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,2,0.9428146258503401
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,3,0.9451863767895218
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,4,0.9399701111787999
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,5,0.9438410625444208
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,6,0.9337416869732968
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,7,0.9424338765356888
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,8,0.9421959082140319
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,9,0.9409203980099503
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,confidence,10,0.94690133516093
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,1,0.9427448218093207
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,2,0.9471361305716317
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,3,0.9431271575794498
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,4,0.938740608183572
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,5,0.9420388491217383
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,6,0.9436110265001523
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,7,0.9416152655091887
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,8,0.9421023073408469
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,9,0.9420991344298913
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,degree,10,0.945124505025891
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,1,baseline,,0.9601680562793121
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,1,conviction,1,0.9593088538177127
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,1,conviction,2,0.9584155314027643
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,1,conviction,3,0.9582170153105536
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,1,conviction,4,0.9564955085734138
