dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,baseline,,0,0.9545872551562166,0.00196605308945746,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,1,600.0,0.9546083461282935,0.0019279869969512113,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,2,600.0,0.9542917831866278,0.0021345390643328233,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,3,600.0,0.9529303331474507,0.001999428268045393,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,4,600.0,0.95114542290868,0.0018033718893330907,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,5,600.0,0.9486533526425249,0.0016872708865643489,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,6,600.0,0.9497501257816507,0.0018731015052502477,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,7,600.0,0.9476217302797554,0.0020103573027118785,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,8,600.0,0.9450641350470335,0.002069423898754979,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,9,600.0,0.9415310892363433,0.0032350654675171917,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conviction,10,600.0,0.9200090769624628,0.0034510779081690255,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,1,600.0,0.9492396729988382,0.002198284858908882,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,2,600.0,0.9491090926722349,0.0021286766915639354,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,3,600.0,0.9480635347956055,0.0021642956150616445,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,4,600.0,0.9480189488089421,0.0021644822659037874,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,5,600.0,0.943907504671712,0.002347552407839538,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,6,600.0,0.9424850880239362,0.0020229518585520977,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,7,600.0,0.9455074010672956,0.0020839256029916045,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,8,600.0,0.9481896716743778,0.002365800139456623,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,9,600.0,0.9470237434864368,0.0020973818145008246,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,confidence,10,600.0,0.9509809778894638,0.0021384058310204993,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,1,600.0,0.9484290515046115,0.0020500651283328563,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,2,600.0,0.9482677352683794,0.001996182197946479,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,3,600.0,0.9472393268580935,0.0021202760476397415,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,4,600.0,0.9467356224640227,0.0018417705604276927,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,5,600.0,0.9472359136847508,0.0020783000637733333,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,6,600.0,0.9473911580190755,0.002490685476424477,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,7,600.0,0.9472504916226413,0.0020767718527909466,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,8,600.0,0.9481979603021916,0.0021153256954739258,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,9,600.0,0.9471230065728703,0.0027153828513894088,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,degree,10,600.0,0.9477467533777588,0.002218969625291052,10
