dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,baseline,,0,0.7666902558016574,0.0045477556088290615,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,1,2446.0,0.7654948985128456,0.004517072499064248,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,2,2446.0,0.7662563119214794,0.0044496889883368935,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,3,2446.0,0.7660526334017533,0.004493552126620054,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,4,2446.0,0.7664312447905723,0.0044947904345255755,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,5,2446.0,0.7661468475603138,0.004599216860558753,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,6,2446.0,0.7661061418719076,0.004497044180008899,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,7,2446.0,0.7664246182831576,0.004493054901479402,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,8,2446.0,0.7664543452110207,0.004532563435433186,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,9,2446.0,0.765361006120861,0.004735730990784177,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conviction,10,2446.0,0.7585665848550825,0.0037295303028677096,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,1,2446.0,0.7632055787342218,0.0041245555525806585,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,2,2446.0,0.7648386203011253,0.004604599904396894,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,3,2446.0,0.7656170848446927,0.004384437368861189,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,4,2446.0,0.7659531549794625,0.00438466998126632,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,5,2446.0,0.7663325513900657,0.00454169333487617,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,6,2446.0,0.7661395399310564,0.00454617561512796,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,7,2446.0,0.7663386468533324,0.004547552858972718,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,8,2446.0,0.7665803296629716,0.004536817000793576,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,9,2446.0,0.7660412967636322,0.004587420971824516,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,confidence,10,2446.0,0.7634206400698207,0.0044768268449087495,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,1,2446.0,0.766136053510779,0.004577631089177052,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,2,2446.0,0.7661687935369618,0.004641628636644808,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,3,2446.0,0.7663424796067502,0.00439081105898032,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,4,2446.0,0.7663410250075616,0.004567519976571417,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,5,2446.0,0.7662140823672563,0.004522778826100907,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,6,2446.0,0.7662652011387434,0.004404870468168477,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,7,2446.0,0.7660352474781176,0.004624581189061531,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,8,2446.0,0.7661478403819825,0.004496336345388059,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,9,2446.0,0.7660355822668197,0.004401120806686173,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,degree,10,2446.0,0.7607834632852238,0.004097994656979223,10
