dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,baseline,,0.7659956269668835
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,1,0.7650406710550923
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,2,0.7660579669321117
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,3,0.765283335141962
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,4,0.766339766663819
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,5,0.7652769857010592
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,6,0.7655187262328882
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,7,0.7649645932086381
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,8,0.7649974948569529
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,9,0.764134317227303
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conviction,10,0.7613963228656065
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,1,0.7666788268080321
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,2,0.7639156655714844
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,3,0.7659796956424364
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,4,0.7655262301175917
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,5,0.764727470452011
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,6,0.764012638850728
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,7,0.7673732247540458
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,8,0.7648732767040168
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,9,0.7648866682521027
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,confidence,10,0.7620124495219447
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,1,0.7656961642450285
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,2,0.765637749388722
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,3,0.7658286943933282
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,4,0.7655365046674163
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,5,0.7646565876026589
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,6,0.7651834757532168
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,7,0.7643122170169634
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,8,0.7650432108314535
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,9,0.7655634032079685
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,degree,10,0.7643594337684048
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,baseline,,0.7648087432955677
