dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,baseline,,0,0.7666903250682855,0.004547719343628942,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,1,2446.0,0.7660171111660113,0.004457590080988164,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,2,2446.0,0.7666482686806322,0.00442313785873597,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,3,2446.0,0.766085038639234,0.004495335080127981,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,4,2446.0,0.766435354610502,0.004402915939430738,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,5,2446.0,0.7665835274722992,0.004524264030316047,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,6,2446.0,0.766427989259055,0.004467424883637012,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,7,2446.0,0.7663658686381487,0.00448329413638993,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,8,2446.0,0.7665847050049757,0.004537717066358147,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,9,2446.0,0.7654188899330192,0.00467316460055533,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conviction,10,2446.0,0.7583144543290488,0.0037803289756797817,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,1,2446.0,0.7640707535516464,0.0038223138805579854,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,2,2446.0,0.7650024243319811,0.004588105756653495,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,3,2446.0,0.7658756225338196,0.0043244470465411645,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,4,2446.0,0.7657552486787391,0.004529967860626449,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,5,2446.0,0.7666402683850948,0.004404422206276039,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,6,2446.0,0.766195645899762,0.00447290770630475,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,7,2446.0,0.7664977984756725,0.004665500934811916,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,8,2446.0,0.7664665245931163,0.004488044098369206,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,9,2446.0,0.7659305740587243,0.004633629318893727,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,confidence,10,2446.0,0.7635884500206646,0.004465595887042846,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,1,2446.0,0.7661516500465241,0.004670919710440668,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,2,2446.0,0.7661276145265973,0.004683389271709385,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,3,2446.0,0.766423856350249,0.004361946113072023,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,4,2446.0,0.7664113999016414,0.004620551664523311,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,5,2446.0,0.766228628359143,0.004537484980004745,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,6,2446.0,0.7662295980919354,0.004390879917490748,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,7,2446.0,0.7660494240479879,0.004538861317636472,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,8,2446.0,0.7665550357993023,0.004447029428581028,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,9,2446.0,0.766441311540513,0.004424969629123223,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,degree,10,2446.0,0.761565829848837,0.0037856680206069873,10
