dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,baseline,,0.7659956269668837
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,1,0.7658512060474385
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,2,0.7662082755149396
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,3,0.7653273194507619
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,4,0.7663665497599912
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,5,0.765657721266471
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,6,0.765381116531866
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,7,0.7647260851194503
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,8,0.764849610606106
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,9,0.7639182053478455
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conviction,10,0.7607068890279352
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,1,0.7671227104493326
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,2,0.763177629649811
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,3,0.7662679602594267
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,4,0.7655804889762161
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,5,0.7648679662625344
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,6,0.7642263263982046
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,7,0.7671261737807342
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,8,0.7649408116663473
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,9,0.7652608234878517
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,confidence,10,0.7621319344552988
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,1,0.765925436783812
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,2,0.7656457150509456
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,3,0.7660071714048888
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,4,0.7654668917062449
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,5,0.7649598599890559
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,6,0.7651686988725702
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,7,0.7642158209596199
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,8,0.7650704557051458
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,9,0.7664157290658933
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,degree,10,0.7629132620194917
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,baseline,,0.7648083969624274
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,1,0.7637456159996675
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,2,0.7647550616588434
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,3,0.7651758564241333
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,4,0.7652136067364105
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,5,0.7651115539044444
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,6,0.7646020978552743
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,7,0.7651901715272599
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,8,0.7639484517754191
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,9,0.763852748384356
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conviction,10,0.7546275879743898
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,1,0.763416599516519
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,2,0.7650126180707398
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,3,0.7651077442399026
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,4,0.7648417603882626
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,5,0.7643318425615723
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,6,0.7623193006841235
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,7,0.76481393829267
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,8,0.7641213874567373
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,9,0.7634918692523129
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,confidence,10,0.7607553756675571
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,1,0.7647288557845715
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,2,0.7644036489659647
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,3,0.7651812823099958
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,4,0.7650213918436237
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,5,0.7653468295509906
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,6,0.7649431205539483
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,7,0.7647392457787762
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,8,0.7646307280615272
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,9,0.7662647278167852
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,degree,10,0.7547549231255873
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,2,baseline,,0.7653572195451953
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,2,conviction,1,0.7651468798847403
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,2,conviction,2,0.7657611594309979
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,2,conviction,3,0.7646646687092626
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,2,conviction,4,0.7646667467081035
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,2,conviction,5,0.7651551918801042
