dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,baseline,,0,0.8536274601509101,0.0021922709709756125,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,1,588.0,0.8532532691301391,0.002170157094257496,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,2,588.0,0.8526954903220734,0.002301162245257513,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,3,588.0,0.852403247846563,0.002346395209886991,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,4,588.0,0.8525307798464871,0.002250011777536844,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,5,588.0,0.8529639751754878,0.0022180640727818574,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,6,588.0,0.8527593410496465,0.0022720260247111766,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,7,588.0,0.8535271087685622,0.0022645568096570506,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,8,588.0,0.8527360917932159,0.002097298919066836,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,9,588.0,0.8535079603284992,0.0022135086875167942,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,conviction,10,587.0,0.8526902372101975,0.002089246929386037,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,1,588.0,0.852388234113912,0.0021827675804520505,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,2,588.0,0.8527036241727195,0.002353397876044304,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,3,588.0,0.8522719539407151,0.0022070461398172644,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,4,588.0,0.8530746972174098,0.0021829697415931782,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,5,588.0,0.8527734736151442,0.002159116904607587,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,6,588.0,0.8529486564234373,0.002290953727615109,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,7,588.0,0.8530950657350698,0.002320257829718738,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,8,588.0,0.853325152035225,0.0022080120564817152,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,9,588.0,0.8536959539515602,0.002206333679924631,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,confidence,10,587.0,0.8537725477118123,0.0021456768257231093,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,1,588.0,0.8531781665758388,0.002220565305795706,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,2,588.0,0.853660842829604,0.0022182568098366674,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,3,588.0,0.853582181715646,0.002181450789687361,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,4,588.0,0.8531826063026496,0.00231941527174947,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,5,588.0,0.8531674908968654,0.0021387771990133337,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,6,588.0,0.8531128246423141,0.002191114657201132,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,7,588.0,0.8524646923099863,0.0022666838803148052,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,8,588.0,0.852538608677734,0.0022801281354119796,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,9,588.0,0.8528623359334542,0.002147800521538268,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,degree,10,587.0,0.8528009592521195,0.0022900989716003383,10
