dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,baseline,,0.8484236597447599
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,1,0.847783796827256
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,2,0.8474296354137012
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,3,0.8473208451613079
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,4,0.8474194681003934
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,5,0.848644290443539
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,6,0.8468406090627364
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,7,0.8483934967152801
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,8,0.8483989192823775
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,9,0.8485504122506636
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conviction,10,0.8479718921234501
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,1,0.848101017002459
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,2,0.8480023940633735
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,3,0.8472635692963407
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,4,0.8491750241982057
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,5,0.8482325142545731
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,6,0.8486303951153517
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,7,0.8470368382095769
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,8,0.8473482969072389
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,9,0.8480955944353616
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,confidence,10,0.84829351813442
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,degree,1,0.8483829904915287
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,degree,2,0.8482623383736095
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,degree,3,0.8471886700883067
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,degree,4,0.8483145305819229
