dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,baseline,,0,0.8536273584777769,0.0021923003196926655,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,1,588.0,0.8529893934587574,0.0022776735412239693,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,2,588.0,0.8528098048146973,0.0025444419179345506,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,3,588.0,0.8526354015004245,0.002442458505789659,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,4,588.0,0.8529441828055822,0.0022030793339570536,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,5,588.0,0.8535798432335853,0.0021253124335388466,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,6,588.0,0.8532318838811482,0.002253323625537744,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,7,588.0,0.8537366570958358,0.0023012856937506166,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,8,588.0,0.8530892703664842,0.0021815421782931054,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,9,588.0,0.8538759492881525,0.0022267472570692212,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conviction,10,587.0,0.8528937529315753,0.002089735082904606,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,1,588.0,0.8531622377849896,0.0022648213053673644,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,2,588.0,0.8530310116612305,0.0024137934284973912,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,3,588.0,0.8528716220796089,0.002307818609237455,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,4,588.0,0.8534303837279605,0.002264767633713312,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,5,588.0,0.8532501172630134,0.002200568146851008,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,6,588.0,0.8532525913092517,0.0022925438870082127,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,7,588.0,0.8534145227192005,0.0022987364507046507,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,8,588.0,0.8532564209972643,0.002204607885181238,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,9,588.0,0.8535320907520829,0.002159157312966021,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,confidence,10,587.0,0.8537219144915393,0.00213365265273116,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,1,588.0,0.8528046194849104,0.002222983103862261,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,2,588.0,0.8535974326856077,0.002226179423849362,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,3,588.0,0.8536146493361422,0.0022137041028254313,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,4,588.0,0.8533644995377261,0.0023110631302446314,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,5,588.0,0.8534278418996337,0.0021412432527652433,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,6,588.0,0.8536107857570853,0.002194060427574164,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,7,588.0,0.8530515157430679,0.0022822470264349947,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,8,588.0,0.8531265166242351,0.002264632103535029,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,9,588.0,0.8531198739795407,0.0022168642132210617,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,degree,10,587.0,0.853016167383801,0.002411563311567498,10
