dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,baseline,,0.8484229819238724
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,1,0.847184942073427
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,2,0.8476356929634057
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,3,0.8472222222222223
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,4,0.847074118358372
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,5,0.8484165426254444
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,6,0.8468324752120902
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,7,0.8482413259261068
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,8,0.848280978448007
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,9,0.8484629733562165
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,conviction,10,0.8483796013870927
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,1,0.847026670896269
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,2,0.8469734619566249
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,3,0.8469510938673479
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,4,0.8493332953753636
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,5,0.8481345691363749
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,6,0.8488520425454613
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,7,0.8478081983791946
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,8,0.8473682926234108
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,9,0.8481142345097594
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,confidence,10,0.848462634445773
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,1,0.8483650282380182
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,2,0.8483857017750773
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,3,0.8467724880635743
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,4,0.8480813601967307
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,5,0.847898687467634
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,6,0.8482677609407069
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,7,0.8481454142705699
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,8,0.8478187046029462
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,9,0.8482237025830399
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,degree,10,0.8476204419934441
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,baseline,,0.8551049402297543
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,1,0.8546880803841348
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,2,0.8546223317580776
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,3,0.8538164027232132
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,4,0.8540116151387229
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,5,0.8552513495413865
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,6,0.8555380677766662
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,7,0.8549131169186805
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,8,0.8555828039552205
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,9,0.8554194491214087
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,conviction,10,0.8593297978195857
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,1,0.8545816625048465
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,2,0.8553598008833363
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,3,0.8550293632008329
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,4,0.8562179221265139
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,5,0.8565120963915527
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,6,0.8562979049912018
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,7,0.8551103627968517
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,8,0.8551015511253183
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,9,0.8555434903437636
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,confidence,10,0.855344211002931
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,1,0.8537560766642537
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,2,0.853800812842808
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,3,0.8554377502853626
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,4,0.8552310149147707
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,5,0.8559325595330085
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,6,0.8548792258743213
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,7,0.8553421775402693
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,8,0.8552899853319561
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,9,0.8558464762803359
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,1,degree,10,0.8585347139189163
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,baseline,,0.8612310854081432
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,1,0.8605403859241003
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,2,0.8613164908399286
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,3,0.8609057313822938
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,4,0.8604888715366741
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,5,0.860018463840967
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,6,0.8597181891879436
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,7,0.8614574775844632
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,8,0.8601452163468708
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,9,0.8620254914879253
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,conviction,10,0.8603763532694012
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,1,0.8610080823362588
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,2,0.8608318489055905
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,3,0.8613761390780009
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,4,0.8613144573772671
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,5,0.8589691971076028
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,6,0.8611402574092601
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,7,0.8609769025754483
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,8,0.8605092061632897
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,9,0.8604448131790071
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,confidence,10,0.8614629001515608
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,1,0.8605302186107925
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,2,0.8606983181908148
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,3,0.8605186956557105
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,4,0.8619638097871912
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,5,0.8604444742685635
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,6,0.8613842729286472
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,7,0.8622003692768193
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,8,0.861124667528855
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,9,0.8603187384939903
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,2,degree,10,0.8587028134989385
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,baseline,,0.8531318036271552
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,1,0.8514135276781383
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,2,0.8514826654086312
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,3,0.8517727727483468
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,4,0.8513931930515226
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,5,0.8518032746882703
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,6,0.8531684059550633
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,7,0.8541417567490626
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,8,0.8537133739483609
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,9,0.8529975950914922
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,conviction,10,0.8523638325619732
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,1,0.8534680027871995
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,2,0.852679697095402
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,3,0.8532348324020075
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,4,0.8514067494692663
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,5,0.8514643642446771
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,6,0.8516256856158272
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,7,0.8528342402576804
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,8,0.8521875991313048
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,9,0.8529013445255119
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,confidence,10,0.8531982300740995
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,1,0.8514142054990254
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,2,0.8534619023992147
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,3,0.8535378183385797
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,4,0.8524316146506917
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,5,0.852188276952192
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,6,0.8527508682885565
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,7,0.8506801254782026
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,8,0.8515673930195293
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,9,0.8517802287781059
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,3,degree,10,0.8522309796680846
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,baseline,,0.8659182168430356
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,1,0.8666129832524014
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,2,0.867160662529248
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,3,0.8664875863882722
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,4,0.866032090752083
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,5,0.8670861022316576
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,6,0.8665011428060159
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,7,0.8671830306185251
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,8,0.8646025665010073
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,9,0.866701777788623
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,conviction,10,0.8633540204268102
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,1,0.8668929232788093
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,2,0.8671057590373858
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,3,0.86569318030849
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,4,0.8668488649211423
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,5,0.8668400532496089
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,6,0.8671335496937604
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,7,0.8656213312944481
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,8,0.8658775475898045
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,9,0.8664543731648
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,confidence,10,0.8645632528895504
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,1,0.8651644800164846
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,2,0.8665180883281955
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,3,0.8662876292265522
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,4,0.8663350766886552
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,5,0.8662076463618642
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,6,0.8665560462978779
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,7,0.8654417087593438
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,8,0.8658307779485886
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,9,0.8663011856442958
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,4,degree,10,0.8670454329784263
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,baseline,,0.8431054770638968
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,1,0.8417145886033908
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,2,0.838078757364524
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,3,0.8387762350574386
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,4,0.8434992909993521
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,5,0.8457910034189287
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,6,0.843451843537249
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,7,0.8430492179302603
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,8,0.8426303246219793
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,9,0.8440232465451469
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,conviction,10,0.8438605695322223
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,confidence,1,0.842614734741574
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,confidence,2,0.8403528464410337
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,confidence,3,0.8409459397173218
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,confidence,4,0.8427062405613442
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,confidence,5,0.8438226115625398
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,confidence,6,0.8416691746039493
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,5,confidence,7,0.8431576692722101
