dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,baseline,,0.4742773175239563
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,1,0.4721541702747345
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,2,0.47476726770401
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,3,0.4728074371814728
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,4,0.4728074371814728
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,5,0.47084763646125793
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,6,0.4719908535480499
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,7,0.4705209732055664
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,8,0.4716642200946808
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,9,0.47182753682136536
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,10,0.46219173073768616
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,1,0.4732974171638489
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,2,0.47476726770401
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,3,0.4711742699146271
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,4,0.47411400079727173
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,5,0.4728074371814728
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,6,0.47182753682136536
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,7,0.4737873673439026
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,8,0.4690511226654053
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,9,0.4728074371814728
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,10,0.4688878059387207
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,degree,1,0.47558385133743286
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,degree,2,0.4728074371814728
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,degree,3,0.4719908535480499
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,degree,4,0.4764004647731781
