dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,baseline,,0,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,1,147.7,0.6556352436542511,0.01093271931994456,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,2,147.5,0.6566911816596985,0.011153776608917967,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,3,147.5,0.6563922941684723,0.010668559154976862,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,4,147.4,0.6592994153499603,0.00973855752839461,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,5,147.4,0.6580832123756408,0.009427907822279038,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,6,147.3,0.6563275277614593,0.010294257724458303,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,7,147.1,0.6600486695766449,0.009852811075342888,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,8,147.1,0.655100691318512,0.010731717641910547,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,9,147.0,0.6512938976287842,0.010206377358629356,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conviction,10,146.7,0.6488172471523285,0.011377083193385717,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,1,147.7,0.6552068769931794,0.01142739664596905,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,2,147.5,0.6552952885627746,0.011045303104182828,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,3,147.5,0.6583702445030213,0.01037805939443238,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,4,147.4,0.6560906648635865,0.010375312956135963,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,5,147.4,0.6599997580051422,0.00995168866796314,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,6,147.3,0.6578287243843078,0.00953913679010578,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,7,147.1,0.6571007609367371,0.01016489192861766,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,8,147.1,0.6557255923748017,0.010481911317089575,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,9,147.0,0.6526709258556366,0.010081740248470611,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,confidence,10,146.7,0.6504945576190948,0.011108981301162342,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,1,147.7,0.6530783295631408,0.011371701473471139,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,2,147.5,0.6530595779418945,0.011291990484960891,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,3,147.5,0.6535932719707489,0.010164399984534946,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,4,147.4,0.6567778646945953,0.01023261326911875,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,5,147.4,0.6562840580940247,0.01017559793747219,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,6,147.3,0.6564771950244903,0.010492365980554422,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,7,147.1,0.6552730977535248,0.010552409581284188,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,8,147.1,0.6575282275676727,0.009784622187827937,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,9,147.0,0.6577588677406311,0.009782877019020563,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,degree,10,146.7,0.6580427944660187,0.009372860581774863,10
