dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,baseline,,0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,1,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,2,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,3,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,4,9.0,0.808108103275299,0.023076080430393348,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,5,9.0,0.818918913602829,0.023265229974290785,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,6,9.0,0.8108108162879943,0.02477067767451868,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,7,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,8,8.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,9,8.0,0.808108103275299,0.02548291669982774,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,conviction,10,8.0,0.8108108103275299,0.022933191878154183,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,1,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,2,9.0,0.8054054081439972,0.02254773248656784,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,3,9.0,0.8135135114192963,0.024607953683793298,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,4,9.0,0.8162162184715271,0.024113196584548895,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,5,9.0,0.8162162125110626,0.022547732200785594,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,6,9.0,0.8108108103275299,0.022612431782509795,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,7,9.0,0.808108103275299,0.025767969068462293,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,8,8.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,9,8.0,0.8108108043670654,0.02447401312189625,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,confidence,10,8.0,0.8108108103275299,0.02564008641957908,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,1,9.0,0.8135135114192963,0.02370071292464423,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,2,9.0,0.8027027070522308,0.02163850615768327,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,3,9.0,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,4,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,5,9.0,0.8135135114192963,0.02243405927125561,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,6,9.0,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,7,9.0,0.8162162125110626,0.02471162877100273,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,8,8.0,0.8054054081439972,0.02349952832831214,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,9,8.0,0.8162162125110626,0.024414248028337342,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,mean,acc,degree,10,8.0,0.8081081092357636,0.02490302345761108,10
