dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,baseline,,0,0.9545872523643176,0.0019660010686285887,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,1,600.0,0.9533457623074801,0.0019519825448388922,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,2,600.0,0.9538168911885665,0.002127036852561041,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,3,600.0,0.9523150182715685,0.002026674561448728,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,4,600.0,0.9502939425013064,0.0019681093778353854,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,5,600.0,0.9489870757616966,0.0020450468690675306,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,6,600.0,0.948696823710929,0.0018781914456655372,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,7,600.0,0.9464614011376741,0.00197743761595804,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,8,600.0,0.94444046129772,0.0024721721160194227,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,9,600.0,0.9399405984086362,0.0026112963404548084,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conviction,10,600.0,0.9125551620216354,0.0034940232172676637,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,1,600.0,0.9474808758526165,0.002398238275698223,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,2,600.0,0.947390475803626,0.0022407852579921115,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,3,600.0,0.9470294281000944,0.0020589721053817407,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,4,600.0,0.9466830807107443,0.0023130311942601255,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,5,600.0,0.9421250988492282,0.0024437296658436055,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,6,600.0,0.9402668229385409,0.00204196351498186,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,7,600.0,0.9446242493170972,0.002118197809150449,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,8,600.0,0.9474027709315443,0.002438029584262879,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,9,600.0,0.9460310399566685,0.0020342741817868347,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,confidence,10,600.0,0.9507252722005031,0.0022283193326778456,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,1,600.0,0.9470680552149,0.001989275371030684,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,2,600.0,0.9472286476354824,0.0021009242722819766,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,3,600.0,0.945988355694644,0.0022753308100011177,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,4,600.0,0.9452289340306572,0.0018932090806273484,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,5,600.0,0.9463549387352067,0.002214434491102879,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,6,600.0,0.9458958890374397,0.002545922353553855,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,7,600.0,0.9460857276419654,0.002166068704369392,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,8,600.0,0.9467971366032938,0.002055991358450668,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,9,600.0,0.9458573684012899,0.0028100104648745078,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,degree,10,600.0,0.9471372057100431,0.0023523133064445667,10
