dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,1,0.9508468499340035
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,2,0.9499013224692863
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,3,0.9505295588384607
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,4,0.948297415981318
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,5,0.9473598207939893
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,6,0.9457416362067216
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,7,0.9408616991572748
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,8,0.9423133059193827
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,9,0.9352805487866788
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,conviction,10,0.9049617981520967
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,1,0.9457368768402884
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,2,0.9428146258503401
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,3,0.9451863767895218
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,4,0.9399701111787999
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,5,0.9438410625444208
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,6,0.9337416869732968
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,7,0.9424338765356888
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,8,0.9421974946695095
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,9,0.9409219844654281
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,confidence,10,0.94690133516093
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,1,0.9427448218093207
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,2,0.9471361305716317
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,3,0.9431271575794498
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,4,0.938740608183572
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,5,0.9420388491217383
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,6,0.9436110265001523
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,7,0.9416152655091887
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,8,0.9421023073408469
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,9,0.9420991344298913
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,degree,10,0.945124505025891
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,baseline,,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,1,0.9591956376088736
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,2,0.9590017742375742
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,3,0.9586326583786198
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,4,0.9572539020819375
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,5,0.9549275416263432
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,6,0.9536263306781806
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,7,0.9494559418347851
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,8,0.9483470433509517
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,9,0.9451537258989057
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,conviction,10,0.9231075833147224
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,1,0.9519916747313829
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,2,0.9564094332365568
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,3,0.9541412317923522
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,4,0.95170630784883
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,5,0.9448078736445072
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,6,0.9431499540931536
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,7,0.9492326112310479
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,8,0.9552842502295342
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,9,0.9517993622670536
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,confidence,10,0.9586000893322415
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,degree,1,0.9528912007742127
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,degree,2,0.9525422467058736
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,1,degree,3,0.949376845579295
