dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,baseline,,0,0.9545872523643176,0.0019660010686285887,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,1,600.0,0.9545948412464803,0.0019286412786466975,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,2,600.0,0.9544380526937102,0.002123605251670636,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,3,600.0,0.9531861261559961,0.001990547939082954,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,4,600.0,0.9512008030657212,0.001727363407093373,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,5,600.0,0.9497557776924822,0.001864669702168238,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,6,600.0,0.9495454221756386,0.0018395427893520082,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,7,600.0,0.9477562713804991,0.0019456311670374847,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,8,600.0,0.9453831954297793,0.002250809490020917,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,9,600.0,0.9411475362843771,0.002465207095359164,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,conviction,10,600.0,0.9171516362411187,0.003609756553444009,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,1,600.0,0.9492395207000401,0.002198307396697899,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,2,600.0,0.9491090864603262,0.0021285826205262727,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,3,600.0,0.9480635371396046,0.002164358356590722,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,4,600.0,0.9480194149011216,0.002164425868054069,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,5,600.0,0.9439075024987723,0.0023474074699539734,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,6,600.0,0.9424854068960791,0.0020230236983520304,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,7,600.0,0.9455074049352052,0.002084196641486733,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,8,600.0,0.9481899818557717,0.002365801580543847,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,9,600.0,0.9470235845339969,0.0020973304610834545,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,confidence,10,600.0,0.9509810554348123,0.0021384909970287714,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,1,600.0,0.9484287441151166,0.0020500035662555384,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,2,600.0,0.9482678942208193,0.001996232562452602,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,3,600.0,0.9472391702496529,0.0021202391813754306,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,4,600.0,0.9467356248080219,0.0018417603654183148,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,5,600.0,0.9472359136847508,0.0020783000637733385,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,6,600.0,0.947391309548755,0.0024906289296956815,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,7,600.0,0.9472508101464803,0.0020767257021944738,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,8,600.0,0.9481976465659467,0.002115297652048592,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,9,600.0,0.9471230089168694,0.00271532724843153,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,degree,10,600.0,0.9477467495098495,0.0022188924994076165,10
