dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,1,0.9511339983754695
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,2,0.94994732967814
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,3,0.9499520890445731
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,4,0.9490398771448878
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,5,0.9489399304497919
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,6,0.9465729388770434
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,7,0.9433143593258199
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,8,0.942843182048939
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,9,0.9381901081328053
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conviction,10,0.9072113920194944
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,1,0.9461604604528377
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,2,0.9452815641181846
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,3,0.9456401030561479
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,4,0.9425258909533963
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,5,0.9464285714285715
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,6,0.9350711366636206
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,7,0.9434206518428266
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,8,0.9430525941719972
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,9,0.9411202914001422
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,confidence,10,0.9470552213422682
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,1,0.9441567671844857
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,2,0.9464047745964058
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,3,0.9453355036044269
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,4,0.941209132906894
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,5,0.9433556071682403
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,6,0.9450547009848715
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,7,0.9426750177683014
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,8,0.9434143060209157
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,9,0.9422879226317392
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,degree,10,0.9455925093918165
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,baseline,,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,1,0.960057941884414
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,2,0.9603091888136182
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,3,0.9593972555150251
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,4,0.9580727809623069
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,5,0.9554843172287154
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,6,0.9544855331397801
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,7,0.9506827092483684
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,8,0.9492651802774263
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,9,0.9451800913174024
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,conviction,10,0.9281092582942504
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,1,0.954383173279734
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,2,0.9583814114494157
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,3,0.9537162832824637
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,4,0.9528229608675154
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,5,0.9460129283605054
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,6,0.9449133353184942
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,7,0.9507338891783915
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,8,0.9561263927144594
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,9,0.9530524950991339
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,confidence,10,0.9588699471450904
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,1,0.9540605846298915
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,2,0.95385896672374
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,3,0.9509835852006252
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,4,0.9554377900196034
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,5,0.9504221568773419
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,6,0.9530059678900221
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,7,0.9537814213752203
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,8,0.9523762996600411
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,9,0.9538884339561775
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,degree,10,0.955639407925755
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,baseline,,0.9615827848149555
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,1,0.9613554828259837
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,2,0.9622074679035285
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,3,0.9599869023189571
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,4,0.9566409534603151
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,5,0.9550816300254801
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,6,0.956852360205303
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,7,0.9543059421190585
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,8,0.9544553574125086
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,9,0.9512063695421693
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,conviction,10,0.9327233798375187
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,confidence,1,0.9568475916321078
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,confidence,2,0.9552755520020856
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,2,confidence,3,0.9548797604268828
