dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,baseline,,0,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,1,947.0,0.8907200813293457,0.001341180225560716,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,2,947.0,0.8907961487770081,0.001316042368773145,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,3,947.0,0.8910243332386016,0.001359180871072027,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,4,946.0,0.8907454371452331,0.0014046063051048508,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,5,946.0,0.8909229159355163,0.0014093344868645887,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,6,946.0,0.891075050830841,0.0015060957355667586,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,7,946.0,0.8909229159355163,0.0014626123936927998,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,8,946.0,0.8901876270771026,0.0016077714369198306,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,9,946.0,0.8906947255134583,0.001482542588388499,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conviction,10,946.0,0.8892241358757019,0.0016260628110466792,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,1,947.0,0.8907454252243042,0.0011911174199070642,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,2,947.0,0.8911764621734619,0.0013487342560282395,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,3,947.0,0.8905679523944855,0.0014163436802615331,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,4,946.0,0.8902383327484131,0.0013824623200737918,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,5,946.0,0.891075050830841,0.0016460041712628164,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,6,946.0,0.8903397500514985,0.001452224872619425,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,7,946.0,0.8904158234596252,0.0013105331585884323,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,8,946.0,0.8904411792755127,0.0015399676410974596,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,9,946.0,0.8912271797657013,0.0013808582049087443,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,confidence,10,946.0,0.8905679523944855,0.0014181590805898026,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,1,947.0,0.8909989774227143,0.001408721302369221,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,2,947.0,0.8908468604087829,0.0013921032578132675,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,3,947.0,0.8909229278564453,0.001392813531134567,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,4,946.0,0.8910750567913055,0.0014893532353458397,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,5,946.0,0.890542596578598,0.0013682545070548356,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,6,946.0,0.8902637004852295,0.0013643693433912593,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,7,946.0,0.8906693696975708,0.0015245900408190896,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,8,946.0,0.8905172407627105,0.0013974229506568013,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,9,946.0,0.8901876211166382,0.001304462386369,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,degree,10,946.0,0.8902129828929901,0.0013440505384285425,10
