dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,baseline,,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,1,0.8935091495513916
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,2,0.8937626481056213
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,3,0.8937626481056213
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,4,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,5,0.8924949169158936
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,6,0.8932555913925171
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,7,0.8930020332336426
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,8,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,9,0.8924949169158936
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,conviction,10,0.8904665112495422
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,1,0.8932555913925171
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,2,0.8945233225822449
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,3,0.8940162062644958
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,4,0.8924949169158936
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,5,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,6,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,7,0.8914807438850403
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,8,0.8912271857261658
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,9,0.8924949169158936
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,confidence,10,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,degree,1,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,degree,2,0.8932555913925171
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,degree,3,0.8932555913925171
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,degree,4,0.8935091495513916
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,0,degree,5,0.8917343020439148
