dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,baseline,,0,0.7666902442572193,0.004547774113031062,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,1,2446.0,0.7656833383744045,0.004535645712088285,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,2,2446.0,0.7660811827969402,0.004430414734208948,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,3,2446.0,0.7661540512896293,0.004543078970725908,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,4,2446.0,0.7663004347635353,0.004503737573128576,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,5,2446.0,0.7661468013825619,0.004546459551309915,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,6,2446.0,0.7662123968793076,0.004527342577257104,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,7,2446.0,0.7662823446291812,0.004443908752207687,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,8,2446.0,0.7664335767670495,0.004474384424014532,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,9,2446.0,0.7650197179001129,0.004785660244357896,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,conviction,10,2446.0,0.7590776224922594,0.0037658157951111805,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,1,2446.0,0.7632057057230397,0.0041245013413674664,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,2,2446.0,0.7648386433900012,0.004604581522063545,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,3,2446.0,0.7656171887446347,0.004384398864524667,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,4,2446.0,0.7659531665239006,0.004384694096176128,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,5,2446.0,0.7663324244012477,0.00454168734919424,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,6,2446.0,0.7661393552200485,0.004546151068366685,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,7,2446.0,0.7663388546532166,0.004547577565484732,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,8,2446.0,0.7665803412074097,0.004536804241691304,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,9,2446.0,0.7660412736747563,0.00458739471222762,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,confidence,10,2446.0,0.7634204553588128,0.0044767949448687215,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,1,2446.0,0.7661363536661672,0.0045776153771734576,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,2,2446.0,0.7661685164704497,0.00464154889084962,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,3,2446.0,0.7663424218845603,0.004390855257738235,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,4,2446.0,0.7663410019186856,0.004567477332061222,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,5,2446.0,0.7662140708228182,0.004522737161624567,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,6,2446.0,0.7662652934942475,0.004404879769569041,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,7,2446.0,0.7660353167447456,0.004624608840185578,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,8,2446.0,0.7661480250929905,0.004496273563998918,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,9,2446.0,0.7660357092556378,0.004401186219896978,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,degree,10,2446.0,0.7607835440962898,0.004098041524225823,10
