dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,baseline,,0.7659958578556437
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,1,0.7656218180642749
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,2,0.7654412630538733
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,3,0.7659272838938929
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,4,0.7654574252670805
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,5,0.7657564262114156
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,6,0.765312196236975
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,7,0.764873853925917
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,8,0.765420829398604
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,9,0.7627719580983079
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conviction,10,0.7623371945630315
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,1,0.7666794040299324
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,2,0.7639160119046245
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,3,0.7659791184205362
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,4,0.7655257683400714
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,5,0.7647270086744908
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,6,0.7640125234063481
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,7,0.7673734556428058
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,8,0.7648733921483969
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,9,0.7648866682521028
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,confidence,10,0.7620124495219448
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,1,0.7656958179118882
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,2,0.765637864833102
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,3,0.7658282326158079
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,4,0.7655367355561764
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,5,0.7646575111576992
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,6,0.7651838220863569
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,7,0.7643119861282033
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,8,0.7650430953870735
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,9,0.7655645576517689
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,degree,10,0.7643598955459248
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,baseline,,0.7648080506292873
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,1,0.7630014615258515
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,2,0.764328956452071
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,3,0.7647040352428603
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,4,0.7641567134370333
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,5,0.7642943231380553
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,6,0.7638342772835476
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,7,0.7636623806016499
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,8,0.7647618728772666
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,9,0.7634933700292537
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conviction,10,0.7578317467427369
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,1,0.76310917113244
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,2,0.764408613074307
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,3,0.764802855632185
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,4,0.764796159858142
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,5,0.7644525973831068
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,6,0.7620034448603008
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,7,0.7640847915882607
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,8,0.7640814437012392
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,9,0.7638050698553944
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,confidence,10,0.7607665737724222
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,1,0.7645254427869197
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,2,0.7643190282353864
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,3,0.7650003809664542
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,4,0.7647417855551374
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,5,0.7650327053928687
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,6,0.7645807406449646
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,7,0.7642011595233531
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,8,0.7635301967864903
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,9,0.7647362442248948
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,degree,10,0.7568543946212154
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,baseline,,0.7653575658783356
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,1,0.7648930176930057
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,2,0.765154960991344
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,3,0.7654037436303563
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,4,0.7652529732700082
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,5,0.7645523413274717
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,6,0.7649532796593929
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,7,0.7659768095329352
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,8,0.7654332973916496
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,9,0.763569447875708
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conviction,10,0.7565081769254391
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,1,0.7571869898801458
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,2,0.7651987144113838
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,3,0.7645728904271211
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,4,0.7646930680267554
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,5,0.7658178426216035
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,6,0.7653813474206261
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,7,0.7654641210411237
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,8,0.7655154937902467
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,9,0.7643994929682828
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,confidence,10,0.7631737045408894
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,1,0.764676790369168
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,2,0.7650397475000519
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,3,0.7651189423447677
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,4,0.7647799976449347
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,5,0.7651510358824222
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,6,0.7644274305082555
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,7,0.7642595743796597
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,8,0.7650540626031785
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,9,0.7661970774100746
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,degree,10,0.7576492291778744
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,baseline,,0.7610458337277684
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,conviction,1,0.7603879162058511
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,conviction,2,0.7612041079728198
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,conviction,3,0.7610549538337925
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,conviction,4,0.7611164856883602
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,conviction,5,0.76113795834305
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,conviction,6,0.7613723104345559
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,conviction,7,0.7610740021565011
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,conviction,8,0.76151465335516
