dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,baseline,,0,0.7666903943349134,0.004547681067500858,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,1,2446.0,0.7662117619352172,0.004430001656037129,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,2,2446.0,0.7665091235693555,0.00444387817650055,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,3,2446.0,0.7662351047888637,0.004507061099845248,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,4,2446.0,0.7662739287338752,0.004512937688992879,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,5,2446.0,0.7665212798625751,0.004411222293345853,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,6,2446.0,0.7665001881743395,0.004499869927783795,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,7,2446.0,0.7663183055535674,0.004429317737822278,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,8,2446.0,0.7665183013975697,0.00447344578129661,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,9,2446.0,0.7651313872489374,0.004751290340501735,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conviction,10,2446.0,0.7586973487043677,0.0037999442686126378,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,1,2446.0,0.7640704418518202,0.0038223187661312525,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,2,2446.0,0.7650022973431629,0.004588072315716554,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,3,2446.0,0.7658754955450015,0.004324405172008639,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,4,2446.0,0.7657554218453092,0.00452991233575372,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,5,2446.0,0.7666400952185246,0.004404465102588081,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,6,2446.0,0.76619571516639,0.004472871207757729,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,7,2446.0,0.7664977869312344,0.004665495542841229,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,8,2446.0,0.7664666515819344,0.004487970119524367,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,9,2446.0,0.7659305625142864,0.004633629668153434,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,confidence,10,2446.0,0.7635885654650447,0.004465556281254938,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,1,2446.0,0.766151476879954,0.004670904150573273,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,2,2446.0,0.7661273836378371,0.004683460882835409,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,3,2446.0,0.7664239717946291,0.004361973192305498,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,4,2446.0,0.7664110882018152,0.004620509286469027,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,5,2446.0,0.7662284782814488,0.004537545603792032,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,6,2446.0,0.7662299097917614,0.004390928384415378,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,7,2446.0,0.766049481770178,0.00453880541131197,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,8,2446.0,0.7665549549882362,0.004447038176109725,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,9,2446.0,0.766441299996075,0.004424980891432131,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,degree,10,2446.0,0.7615658183043992,0.003785621957140705,10
