dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,baseline,,0.7659963196331641
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,1,0.7663852517495596
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,2,0.7658868783608745
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,3,0.765750653992413
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,4,0.7658365446111719
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,5,0.7657067851279933
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,6,0.7651164025684065
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,7,0.7646376547243303
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,8,0.7652641713748733
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,9,0.7628952526962036
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conviction,10,0.7614452712827486
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,1,0.7671222486718123
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,2,0.7631775142054309
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,3,0.7662685374813268
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,4,0.7655804889762161
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,5,0.7648672735962541
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,6,0.7642263263982045
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,7,0.7671264046694942
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,8,0.7649402344444469
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,9,0.7652609389322318
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,confidence,10,0.7621321653440589
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,1,0.7659248595619116
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,2,0.7656457150509455
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,3,0.7660074022936489
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,4,0.7654659681512044
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,5,0.764960090877816
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,6,0.7651683525394299
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,7,0.764215936404
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,8,0.7650703402607658
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,9,0.7664159599546534
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,degree,10,0.7629130311307315
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,baseline,,0.7648083969624275
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,1,0.7639931287504993
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,2,0.7649014451327496
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,3,0.7651527675481229
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,4,0.7649034076872103
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,5,0.7650598348221811
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,6,0.7646115642944387
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,7,0.7647580632127248
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,8,0.7647182349016068
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,9,0.7626968038068938
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,conviction,10,0.7556304533039027
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,1,0.7634162531833788
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,2,0.7650120408488396
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,3,0.7651077442399028
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,4,0.7648409522776022
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,5,0.7643320734503324
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,6,0.7623183771290829
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,7,0.7648142846258101
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,8,0.764123003678058
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,9,0.7634918692523129
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,confidence,10,0.7607566455557377
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,1,0.7647281631182912
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,2,0.7644030717440644
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,3,0.765181744087516
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,4,0.7650209300661035
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,5,0.7653468295509906
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,6,0.7649431205539483
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,7,0.7647394766675364
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,8,0.7646306126171472
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,9,0.766264381483645
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,degree,10,0.7547551540143475
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,baseline,,0.7653576813227155
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,1,0.7656086574049489
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,2,0.7653414036651282
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,3,0.7645334084491433
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,4,0.7652911853598054
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,5,0.7647864625302175
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,6,0.7646248403981446
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,7,0.7659690747594716
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,8,0.7661160354552781
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,9,0.7630844660351088
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,conviction,10,0.7577090293667413
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,1,0.7599082448067345
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,2,0.7654277560614072
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,3,0.7656151222902318
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,4,0.7644268532863552
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,5,0.7655225358974299
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,6,0.7650134261814
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,7,0.7652848359189026
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,8,0.7646495454954757
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,9,0.7643069065754811
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,confidence,10,0.7627729970977284
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,degree,1,0.7640546606050671
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,degree,2,0.7648595388227906
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,degree,3,0.7646180291797215
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,2,degree,4,0.7647014954664992
