dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,baseline,,0.859695553779602
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,1,0.8581513166427612
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,2,0.8563864827156067
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,3,0.8557246923446655
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,4,0.8546216487884521
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,5,0.8537392616271973
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,6,0.8484447598457336
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,7,0.8385175466537476
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,8,0.8382969498634338
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,9,0.8292521238327026
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conviction,10,0.8199867606163025
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,1,0.8466799259185791
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,2,0.8462386727333069
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,3,0.8402823805809021
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,4,0.8444738388061523
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,5,0.8460180759429932
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,6,0.849768340587616
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,7,0.8466799259185791
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,8,0.8424884080886841
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,9,0.8493271470069885
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,confidence,10,0.8387381434440613
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,degree,1,0.8528568148612976
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,degree,2,0.8524156212806702
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,degree,3,0.8504301905632019
