dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,baseline,,0,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,1,1360.0,0.8690712511539459,0.002179691355225041,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,2,1360.0,0.8668210923671722,0.00181434538644067,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,3,1360.0,0.8655415892601013,0.002082173677444298,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,4,1360.0,0.8648797690868377,0.0020293804110733706,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,5,1360.0,0.8609088838100434,0.0016464981828164635,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,6,1360.0,0.8568718314170838,0.0021737774721423504,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,7,1360.0,0.8510037541389466,0.0021767723974263596,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,8,1359.0,0.8489962458610535,0.0018232253055778147,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,9,1359.0,0.8396646797657012,0.002398164746003554,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,conviction,10,1359.0,0.8294727504253387,0.0021032732823958707,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,1,1360.0,0.8620119094848633,0.001976901091263731,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,2,1360.0,0.8608868360519409,0.0019095216744097496,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,3,1360.0,0.8580189704895019,0.002026728275344264,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,4,1360.0,0.8580410420894623,0.00195885174308577,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,5,1360.0,0.8562982618808747,0.0017955098392397014,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,6,1360.0,0.8531215608119964,0.001997851761569767,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,7,1360.0,0.8495698153972626,0.002111462250465486,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,8,1359.0,0.8469005048274993,0.0019005292472833173,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,9,1359.0,0.8534083425998688,0.0022393772465666303,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,confidence,10,1359.0,0.8527244746685028,0.002449444552237116,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,1,1360.0,0.8598058700561524,0.0019189424234079709,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,2,1360.0,0.8584601819515228,0.0018399512796382195,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,3,1360.0,0.8585925340652466,0.0020314802918571964,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,4,1360.0,0.8592984795570373,0.0019048256754870378,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,5,1360.0,0.8547760844230652,0.0020734577661668755,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,6,1360.0,0.8535627543926239,0.0019170500676378918,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,7,1360.0,0.8530994892120362,0.0019808910851560045,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,8,1359.0,0.8540260255336761,0.0020602762453393424,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,9,1359.0,0.8516655743122101,0.0020669143598903116,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,degree,10,1359.0,0.8492609739303589,0.001906933898479695,10
