dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,baseline,,0,0.8536271551315109,0.002192339488775506,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,1,588.0,0.8533246097785152,0.0021663547951364997,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,2,588.0,0.8526651578373718,0.0022865958061686373,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,3,588.0,0.8525103096556942,0.00233110678216803,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,4,588.0,0.8526328935631418,0.0023354073006802097,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,5,588.0,0.8526640394329078,0.002221090308182678,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,6,588.0,0.852863725466273,0.0022295860224563844,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,7,588.0,0.8531309902420905,0.0022310389432630626,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,8,588.0,0.8533043090429441,0.002158279718370735,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,9,588.0,0.853502944453934,0.002187092585339749,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conviction,10,587.0,0.8523703057514458,0.0020689316532533004,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,1,588.0,0.8523883018960007,0.0021827656612434443,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,2,588.0,0.852703556390631,0.0023533331411174675,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,3,588.0,0.8522720895048925,0.0022069690112159297,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,4,588.0,0.8530749683457646,0.0021830473452781936,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,5,588.0,0.8527735752882771,0.0021592135069812292,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,6,588.0,0.8529488936607479,0.002291038519243146,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,7,588.0,0.8530951674082028,0.0023202513582744294,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,8,588.0,0.853324677560604,0.002208192134418261,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,9,588.0,0.8536961572978266,0.0022064160990543998,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,confidence,10,587.0,0.8537725477118123,0.0021459115170089004,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,1,588.0,0.8531783021400162,0.0022205754440092268,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,2,588.0,0.853661317304225,0.0022181872886220385,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,3,588.0,0.8535823850619122,0.002181550590847195,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,4,588.0,0.8531827418668272,0.002319329192158357,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,5,588.0,0.8531674908968654,0.0021387792623092034,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,6,588.0,0.8531126890781364,0.0021911746616853365,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,7,588.0,0.8524638111428331,0.002266619669174104,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,8,588.0,0.8525388120240003,0.0022799557453801705,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,9,588.0,0.852862403715543,0.00214785437758692,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,degree,10,587.0,0.8528009931431638,0.0022903149760170388,10
