dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,baseline,,0.8484223041029852
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,1,0.8480267956153122
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,2,0.8478919092587622
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,3,0.8471219047309186
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,4,0.8474116731601911
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,5,0.8474028614886574
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,6,0.8480373018390636
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,7,0.8475719778000104
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,8,0.8481203348977439
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,9,0.849303132345884
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conviction,10,0.8473845603247032
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,1,0.8481016948233464
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,2,0.848003749705148
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,3,0.8472635692963407
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,4,0.8491736685564313
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,5,0.8482311586127989
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,6,0.8486297172944645
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,7,0.8470371771200204
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,8,0.8473462634445773
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,9,0.8480935609727001
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,confidence,10,0.8482925014030893
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,1,0.8483833294019723
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,2,0.8482633551049403
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,3,0.8471873144465323
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,4,0.848313513850592
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,5,0.8484202706403239
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,6,0.848253526702076
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,7,0.8479302061388881
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,8,0.8474303132345884
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,9,0.8485920982352255
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,degree,10,0.847869541169485
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,baseline,,0.8551049402297541
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,conviction,1,0.8551632328260522
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,conviction,2,0.8542779987473869
