dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,baseline,,0,0.8536275279329988,0.0021924740226653963,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,1,588.0,0.852962958444157,0.002256635444329933,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,2,588.0,0.8526606164374275,0.0025124876465186683,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,3,588.0,0.8528314611920429,0.0024358169991054008,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,4,588.0,0.8530386032551671,0.002325469581566822,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,5,588.0,0.8535257192357435,0.0021573374994350155,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,6,588.0,0.8532767895149241,0.002203893596290623,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,7,588.0,0.8533077320384244,0.002279063781535734,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,8,588.0,0.8537287604825001,0.002188728440585498,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,9,588.0,0.8537783091893536,0.0022672448010235924,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conviction,10,587.0,0.8524769947590889,0.00206118675982365,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,1,588.0,0.853161966656635,0.002264779148278114,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,2,588.0,0.8530308760970531,0.0024139288432448794,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,3,588.0,0.8528715542975199,0.0023076743140333336,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,4,588.0,0.8534300787085615,0.002264724236225706,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,5,588.0,0.8532502528271909,0.002200566009329902,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,6,588.0,0.8532523879629856,0.002292436121083171,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,7,588.0,0.8534146921744223,0.002298618625317438,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,8,588.0,0.8532561837599537,0.002204604735180965,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,9,588.0,0.8535320568610386,0.002159258688578086,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,confidence,10,587.0,0.8537221856198942,0.002133703125783824,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,1,588.0,0.8528047211580434,0.002222860667301686,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,2,588.0,0.853597568249785,0.002226138440640973,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,3,588.0,0.8536142765346542,0.0022136709926316137,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,4,588.0,0.8533640589541495,0.0023111033680918596,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,5,588.0,0.8534278418996337,0.0021411749092521224,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,6,588.0,0.853610955212307,0.0021938838382384923,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,7,588.0,0.8530512446147129,0.0022822771783779683,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,8,588.0,0.8531266521884125,0.0022645607007558857,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,9,588.0,0.853119806197452,0.0022168035152939983,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,degree,10,587.0,0.8530162351658899,0.002411550116019128,10
