dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,baseline,,0.8484223041029852
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,1,0.8472744144305354
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,2,0.8473303346537285
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,3,0.8471605405214883
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,4,0.8476265423814288
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,5,0.8473283011910668
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,6,0.8479400345417525
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,7,0.8474980953233071
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,8,0.8482433593887684
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,9,0.849158078676026
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conviction,10,0.8477543116186633
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,1,0.8470253152544946
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,2,0.8469738008670685
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,3,0.8469521105986784
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,4,0.8493322786440328
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,5,0.8481352469572622
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,6,0.8488513647245742
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,7,0.8478092151105256
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,8,0.8473686315338543
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,9,0.8481166068828645
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,confidence,10,0.8484622955353294
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,1,0.8483640115066874
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,2,0.8483867185064081
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,3,0.8467731658844613
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,4,0.8480806823758436
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,5,0.8478993652885213
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,6,0.8482667442093761
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,7,0.848146092091457
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,8,0.8478190435133895
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,9,0.8482237025830399
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,degree,10,0.8476207809038876
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,baseline,,0.8551049402297543
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,1,0.8547748414576946
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,2,0.8545342150427434
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,3,0.8537520097389306
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,4,0.8551130740804005
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,5,0.8550581705885384
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,6,0.85513001960258
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,7,0.8544067847159523
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,8,0.8560484669047175
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,9,0.8552520273622736
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,conviction,10,0.8591603425977892
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,1,0.8545816625048465
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,2,0.8553598008833361
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,3,0.8550283464695022
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,4,0.8562165664847396
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,5,0.8565134520333271
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,6,0.8562965493494276
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,7,0.8551090071550773
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,8,0.8551015511253183
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,9,0.8555434903437636
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,confidence,10,0.8553448888238181
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,degree,1,0.8537567544851409
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,degree,2,0.8537994572010336
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,degree,3,0.8554370724644754
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,degree,4,0.8552303370938835
