dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,baseline,,0,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,1,1225.0,0.46338396072387694,0.0019074139183818323,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,2,1225.0,0.4640698999166489,0.0019008564035800123,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,3,1225.0,0.46305732131004335,0.0020492503216843327,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,4,1225.0,0.46207740902900696,0.002135424614438937,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,5,1225.0,0.4620774120092392,0.0021059928533449777,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,6,1225.0,0.4628286808729172,0.0022480434812698936,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,7,1224.0,0.461293488740921,0.001769315639529224,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,8,1224.0,0.46145680248737336,0.0017956494837962239,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,9,1224.0,0.46091785132884977,0.0024282143682561774,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,10,1224.0,0.4500898212194443,0.0018937155192049076,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,1,1225.0,0.4643965303897858,0.0017149614667394662,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,2,1225.0,0.46343295872211454,0.002209961625024183,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,3,1225.0,0.4626490235328674,0.0021337674726035825,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,4,1225.0,0.46225706338882444,0.0023184558030664975,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,5,1225.0,0.4610158443450928,0.0019457261669779868,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,6,1225.0,0.4619957536458969,0.002214130983023462,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,7,1224.0,0.46150579750537873,0.002118842373866473,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,8,1224.0,0.4606238782405853,0.0022616179532452393,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,9,1224.0,0.45970928966999053,0.002156399851264394,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,10,1224.0,0.45618160665035246,0.0019333512588153039,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,1,1225.0,0.46343295872211454,0.002264211746661785,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,2,1225.0,0.46248570680618284,0.0018310341407488354,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,3,1225.0,0.4632859736680984,0.0021331761828500893,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,4,1225.0,0.4625183671712875,0.002281790257876234,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,5,1225.0,0.4623060584068298,0.0019660805286666966,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,6,1225.0,0.4631226480007172,0.0021702418035874044,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,7,1224.0,0.4617344468832016,0.0022411939214306183,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,8,1224.0,0.461865097284317,0.0019053057794175628,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,9,1224.0,0.4603135704994202,0.0019155343705403276,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,10,1224.0,0.4539441466331482,0.0022121393679515756,10
