dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,baseline,,0,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,1,147.7,0.6550123810768127,0.011201116122034466,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,2,147.5,0.655231386423111,0.010744283720180367,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,3,147.5,0.6607336878776551,0.009204578125088203,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,4,147.4,0.6610622823238372,0.009064073669146683,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,5,147.4,0.6577665150165558,0.010433372983697701,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,6,147.3,0.6571441471576691,0.010135688260657257,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,7,147.1,0.6550981760025024,0.011183967708714613,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,8,147.1,0.655981433391571,0.010221573877041246,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,9,147.0,0.6519602000713348,0.01092761025091662,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conviction,10,146.7,0.6489897847175599,0.011050631296892334,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,1,147.7,0.655226182937622,0.011381610818279058,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,2,147.5,0.6560028374195099,0.0107916142477219,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,3,147.5,0.6575314462184906,0.010552910036336755,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,4,147.4,0.6562617182731628,0.010265672940251231,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,5,147.4,0.6599349617958069,0.009974325760465964,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,6,147.3,0.6581504821777344,0.009373102589661994,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,7,147.1,0.65624241232872,0.010462000624981456,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,8,147.1,0.6558113813400268,0.010525033819479928,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,9,147.0,0.6531885385513305,0.010280469929036033,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,confidence,10,146.7,0.6508821487426758,0.010956934003404405,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,1,147.7,0.6540233969688416,0.01096683652082018,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,2,147.5,0.6529745578765869,0.011172848830928901,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,3,147.5,0.6528208255767822,0.010293116051527712,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,4,147.4,0.6565633773803711,0.010085229392975197,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,5,147.4,0.6554448902606964,0.010149481625744517,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,6,147.3,0.6567593216896057,0.010612396796263624,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,7,147.1,0.6552707254886627,0.010815697386183801,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,8,147.1,0.6583018183708191,0.009932803259933079,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,9,147.0,0.657864898443222,0.009720646953381398,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,degree,10,146.7,0.6574872136116028,0.009290916338746137,10
