dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,baseline,,0,0.9545874823044531,0.001965915490178684,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,1,600.0,0.9533353882635114,0.0018991894376765876,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,2,600.0,0.9524102233086837,0.002318909136376395,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,3,600.0,0.950912271712089,0.0019474398865246725,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,4,600.0,0.9487626099684572,0.002215140718847288,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,5,600.0,0.9474431722383414,0.0022844215194510026,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,6,600.0,0.9474866305431121,0.002506143224713141,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,7,600.0,0.9455427239184125,0.002358151053460426,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,8,600.0,0.9429960530496917,0.0030686325521790403,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,9,600.0,0.9395208718577974,0.002307349373806154,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,conviction,10,600.0,0.9281980174294668,0.0033345911960008276,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,1,600.0,0.9474810392857584,0.0023982796331206303,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,2,600.0,0.9473903982582776,0.002240754047682889,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,3,600.0,0.9470297430103571,0.0020590124820809345,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,4,600.0,0.9466830807107443,0.0023130311942601233,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,5,600.0,0.9421247886678341,0.0024437473944153108,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,6,600.0,0.9402669863716829,0.0020419528992645544,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,7,600.0,0.9446245618424903,0.002118236272814092,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,8,600.0,0.9474026119791045,0.002437984053307187,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,9,600.0,0.9460310402697273,0.0020344075284167225,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,confidence,10,600.0,0.9507254234232907,0.002228233244751631,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,1,600.0,0.9470679039921125,0.0019893644374778703,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,2,600.0,0.9472289616786191,0.0021010461767202934,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,3,600.0,0.9459888166509257,0.0022752389861074615,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,4,600.0,0.9452289340306572,0.0018932090806273534,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,5,600.0,0.9463550938259038,0.0022145043099640153,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,6,600.0,0.94589588516953,0.00254578000983519,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,7,600.0,0.9460857267748395,0.002166114911347743,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,8,600.0,0.9467969843044957,0.0020559853254470163,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,9,600.0,0.9458575243591127,0.0028101006161736636,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,degree,10,600.0,0.9471375214419833,0.002352300699519775,10
