dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,1,0.9507627677936845
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,2,0.95173050563509
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,3,0.9482244390293431
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,4,0.9465824576099098
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,5,0.941751700680272
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,6,0.9434000279216165
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,7,0.9481895370088336
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,8,0.9428225581277287
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,9,0.9357485531526044
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conviction,10,0.9107602929231393
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,1,0.9457368768402884
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,2,0.94281462585034
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,3,0.9451863767895218
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,4,0.9399701111787999
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,5,0.9438410625444208
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,6,0.9337416869732968
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,7,0.9424338765356888
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,8,0.9421974946695097
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,9,0.9409203980099503
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,confidence,10,0.94690133516093
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,1,0.9427448218093207
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,2,0.9471361305716317
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,3,0.9431271575794498
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,4,0.938740608183572
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,5,0.9420388491217383
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,6,0.9436110265001523
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,7,0.9416152655091887
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,8,0.9421023073408469
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,9,0.9420991344298913
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,degree,10,0.945124505025891
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,baseline,,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,1,0.9584496513561132
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,2,0.9586466165413534
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,3,0.9557557259485346
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,4,0.9571437876870394
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,5,0.951451959105685
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,6,0.9538837812352665
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,7,0.9513123774783494
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,8,0.9513651083153428
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,9,0.9468271545199632
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conviction,10,0.9289281371746198
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,1,0.9519916747313829
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,2,0.9564086577830716
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,3,0.9541412317923522
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,4,0.9517063078488299
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,5,0.9448063227375368
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,6,0.9431499540931536
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,7,0.9492341621380183
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,8,0.9552842502295342
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,9,0.951800913174024
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,confidence,10,0.9586000893322415
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,1,0.9528927516811831
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,2,0.9525422467058736
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,3,0.9493768455792948
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,4,0.9539458175140821
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,5,0.9492155512543735
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,6,0.9509215489218096
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,7,0.9533983473535325
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,8,0.9501491972505522
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,9,0.9528090027047817
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,degree,10,0.955595982530584
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,baseline,,0.9615827848149555
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,1,0.9600186928069252
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,2,0.9609469750555937
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,3,0.9572370251097169
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,4,0.9563151009586421
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,5,0.9544648945588992
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,6,0.9575994366725532
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,7,0.9525415700368294
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,8,0.9528213263309485
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,9,0.9469623393984287
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,conviction,10,0.939973200618643
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,1,0.9565741934355821
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,2,0.9541295049108356
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,3,0.953455546565912
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,4,0.9556300159429297
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,5,0.9528340425261357
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,6,0.9475584110478305
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,7,0.9514479772507268
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,8,0.9543854183389788
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,9,0.9524271242801441
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,confidence,10,0.9612171942033225
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,degree,1,0.9534205770291472
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,degree,2,0.9540293648737361
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,degree,3,0.9516434887517305
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,degree,4,0.9537305342868361
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,degree,5,0.9531710216985976
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,degree,6,0.9540007534345649
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,degree,7,0.9549147299636476
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,2,degree,8,0.9561990656775586
