dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,baseline,,0,0.9545871000655197,0.001966009070718086,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,1,600.0,0.9545870150964081,0.00198467068663442,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,2,600.0,0.9533650405614484,0.002226123535525231,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,3,600.0,0.9521763504128067,0.0018625187725653629,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,4,600.0,0.9500146701260143,0.0020058592046705713,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,5,600.0,0.9484659049525123,0.0020195867484377934,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,6,600.0,0.9487033487332246,0.0024874318230504564,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,7,600.0,0.9469507556482238,0.0022572371126424085,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,8,600.0,0.9442556002728624,0.002814574931691276,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,9,600.0,0.9406218679117805,0.002131232253982286,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conviction,10,600.0,0.9300589532724313,0.0034940068422531522,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,1,600.0,0.9492395207000401,0.0021983073966979037,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,2,600.0,0.9491090926722349,0.0021286766915639354,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,3,600.0,0.9480636922303015,0.0021643024366156715,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,4,600.0,0.948018951152941,0.0021644334872334956,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,5,600.0,0.94390765697051,0.0023475425274147852,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,6,600.0,0.942485251805382,0.00202293595006954,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,7,600.0,0.9455069334573721,0.002083976966033268,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,8,600.0,0.9481898239731757,0.002365792946243334,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,9,600.0,0.9470237434864368,0.0020973818145008246,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,confidence,10,600.0,0.9509809003441152,0.0021384337883783256,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,1,600.0,0.9484290515046115,0.0020500651283328563,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,2,600.0,0.9482677352683794,0.001996182197946483,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,3,600.0,0.9472387045583359,0.002120251673978055,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,4,600.0,0.9467357798987187,0.0018418022409366773,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,5,600.0,0.9472359108928521,0.0020782474599369285,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,6,600.0,0.9473916241521254,0.0024906260234336306,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,7,600.0,0.9472504916226413,0.0020767718527909427,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,8,600.0,0.9481978052114945,0.0021152617824462443,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,9,600.0,0.9471230089168694,0.002715327248431532,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,degree,10,600.0,0.9477467505858599,0.002218894481046193,10
