dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,1,0.9508658873997361
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,2,0.9515131612346431
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,3,0.9495364377094122
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,4,0.9483227992689612
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,5,0.9447627931769723
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,6,0.9464222256066606
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,7,0.9479023885673672
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,8,0.9432382094628896
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,9,0.9371367016956037
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,conviction,10,0.9116280840694486
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,1,0.9461604604528377
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,2,0.9452815641181846
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,3,0.9456401030561479
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,4,0.9425258909533961
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,5,0.9464285714285715
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,6,0.9350711366636206
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,7,0.9434206518428266
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,8,0.9430525941719972
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,9,0.9411202914001422
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,confidence,10,0.9470552213422682
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,1,0.9441567671844857
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,2,0.9464047745964058
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,3,0.9453355036044269
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,4,0.941209132906894
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,5,0.9433556071682403
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,6,0.9450562874403492
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,7,0.9426750177683014
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,8,0.9434158924763935
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,9,0.9422879226317392
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,degree,10,0.9455925093918165
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,baseline,,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,1,0.9599912528846869
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,2,0.9597942876994466
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,3,0.9575206580808457
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,4,0.9574741308717337
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,5,0.951921883917715
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,6,0.9549523561378694
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,7,0.9527562718677883
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,8,0.9520025310801757
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,1,conviction,9,0.9481283654681257
