dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,baseline,,0,0.7666904982348555,0.004547768557908147,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,1,2446.0,0.7654149417352214,0.004491153214930919,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,2,2446.0,0.7663433454396006,0.004469149894377135,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,3,2446.0,0.7661504263360955,0.004504908521587886,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,4,2446.0,0.7663281414147477,0.004574200691754767,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,5,2446.0,0.7662103650582187,0.004500016916462321,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,6,2446.0,0.766233280767659,0.004456245492484757,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,7,2446.0,0.7662985068423884,0.004612496326393392,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,8,2446.0,0.7659492760482929,0.004531596852050297,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,9,2446.0,0.7658465536389224,0.004596083737190953,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conviction,10,2446.0,0.7584934970180716,0.0038013754932700646,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,1,2446.0,0.7632055671897835,0.004124471866758566,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,2,2446.0,0.7648387819232572,0.004604584284539247,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,3,2446.0,0.7656168885892466,0.004384384507158115,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,4,2446.0,0.7659532127016526,0.004384592871713063,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,5,2446.0,0.7663323666790577,0.0045416967811073225,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,6,2446.0,0.7661396091976848,0.004546136334363182,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,7,2446.0,0.7663386122200185,0.004547599452000044,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,8,2446.0,0.7665803181185338,0.00453689430200303,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,9,2446.0,0.7660413083080703,0.004587409189043119,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,confidence,10,2446.0,0.7634204438143748,0.004476843081395764,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,1,2446.0,0.7661362728551011,0.0045776211484108075,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,2,2446.0,0.7661688974369039,0.004641566540727049,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,3,2446.0,0.7663423987956841,0.004390812974267463,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,4,2446.0,0.7663409326520576,0.004567465582728553,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,5,2446.0,0.7662140708228183,0.004522780534754199,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,6,2446.0,0.7662652588609333,0.004404851107383152,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,7,2446.0,0.7660354321891256,0.004624619062654105,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,8,2446.0,0.7661477364820403,0.004496369744483503,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,9,2446.0,0.7660354552780017,0.004401210320797612,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,degree,10,2446.0,0.7607834055630337,0.00409804573329939,10
