dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,baseline,,0.7659956269668836
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,1,0.7650166586240416
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,2,0.7661678699819214
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,3,0.7653231634530799
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,4,0.7652468547178656
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,5,0.7658222295080453
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,6,0.7656594529321719
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,7,0.7648127838488694
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,8,0.7642317522840671
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,9,0.7638205394023213
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conviction,10,0.7624100399668444
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,1,0.7666795194743125
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,2,0.7639156655714844
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,3,0.7659791184205362
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,4,0.7655258837844515
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,5,0.7647271241188708
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,6,0.7640125234063481
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,7,0.7673740328647061
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,8,0.7648721222602163
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,9,0.7648863219189628
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,confidence,10,0.7620124495219449
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,1,0.7656958179118882
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,2,0.765637633944342
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,3,0.765828001727048
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,4,0.7655369664449365
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,5,0.764657164824559
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,6,0.7651837066419769
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,7,0.7643124479057235
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,8,0.7650427490539332
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,9,0.7655640958742487
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,degree,10,0.764360010990305
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,baseline,,0.7648089741843278
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conviction,1,0.7630984348050952
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conviction,2,0.7638974253594359
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conviction,3,0.7644941573599255
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conviction,4,0.7647782659792338
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conviction,5,0.7641481705529092
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conviction,6,0.7640814437012391
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conviction,7,0.7635455508890372
