dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,baseline,,0,0.7666903827904754,0.0045477528808552155,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,1,2446.0,0.7659819352634095,0.004431032473528071,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,2,2446.0,0.7665402242853416,0.004482629922269158,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,3,2446.0,0.7663769282097579,0.004400623047817638,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,4,2446.0,0.7664723083565568,0.004481728457562836,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,5,2446.0,0.766519005608288,0.004495883199487904,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,6,2446.0,0.7662246339835931,0.0044631404090569645,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,7,2446.0,0.7664343156110818,0.004578213178487482,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,8,2446.0,0.766208818103526,0.004539626164784306,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,9,2446.0,0.7657338683795535,0.004575438052511931,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conviction,10,2446.0,0.7582964911835127,0.003817054556137568,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,1,2446.0,0.7640705457517624,0.0038223205517617484,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,2,2446.0,0.7650022857987251,0.004588106822856054,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,3,2446.0,0.7658756571671335,0.004324414516937823,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,4,2446.0,0.765755502656375,0.004529895612034748,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,5,2446.0,0.7666402106629048,0.004404418457839674,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,6,2446.0,0.766195634355324,0.004472918313881386,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,7,2446.0,0.7664978908311765,0.004665456312142065,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,8,2446.0,0.7664665476819924,0.0044880545627555115,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,9,2446.0,0.7659304355254682,0.0046336663393594015,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,confidence,10,2446.0,0.7635885654650446,0.004465572631630188,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,1,2446.0,0.76615161541321,0.004670936287138908,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,2,2446.0,0.7661274875377793,0.0046834613512192515,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,3,2446.0,0.7664238794391252,0.004361966812981031,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,4,2446.0,0.7664112036461954,0.004620545946232851,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,5,2446.0,0.7662286745368949,0.0045375329378018695,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,6,2446.0,0.7662298058918194,0.004390875724392201,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,7,2446.0,0.766049516403492,0.00453882361344886,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,8,2446.0,0.7665550127104261,0.004446990093798369,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,9,2446.0,0.7664412538183228,0.004424981365444009,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,degree,10,2446.0,0.7615661184597874,0.0037856374169992447,10
