dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,baseline,,0.7659960887444038
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,1,0.7657849409732885
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,2,0.766040881163864
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,3,0.7657005511314703
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,4,0.765316583123417
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,5,0.7660538109344298
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,6,0.7657176368997182
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,7,0.7647193893454073
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,8,0.7638772225929269
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,9,0.7635245400118678
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,conviction,10,0.7617469274478248
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,1,0.7671228258937126
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,2,0.763177745094191
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,3,0.766268652925707
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,4,0.7655810661981164
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,5,0.7648675044850142
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,6,0.7642263263982045
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,7,0.7671265201138744
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,8,0.7649406962219673
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,9,0.7652609389322318
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,confidence,10,0.7621319344552988
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,1,0.7659250904506717
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,2,0.7656464077172258
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,3,0.7660074022936489
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,4,0.7654660835955844
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,5,0.764959975433436
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,6,0.7651690452057103
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,7,0.7642155900708597
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,8,0.7650706865939059
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,9,0.7664156136215132
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,degree,10,0.7629132620194917
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,1,baseline,,0.7648083969624275
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,1,conviction,1,0.7636650358223911
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,1,conviction,2,0.7647378604462156
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,1,conviction,3,0.7651048581304014
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,1,conviction,4,0.7652708671489163
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,1,conviction,5,0.765363222652958
